exposure_index,start_seconds,exposure_seconds,visibility,vis_HV,vis_DA,QBER_total,C_HH,cps_HH,delay_HH_ps,C_VV,cps_VV,delay_VV_ps,C_DD,cps_DD,delay_DD_ps,C_AA,cps_AA,delay_AA_ps,C_HV,cps_HV,delay_HV_ps,C_VH,cps_VH,delay_VH_ps,C_DA,cps_DA,delay_DA_ps,C_AD,cps_AD,delay_AD_ps,alice_ch4_cps,bob_ch1_cps,bob_ch2_cps,alice_ch2_cps,bob_ch3_cps,bob_ch4_cps,alice_ch1_cps,alice_ch3_cps
1,0.0,5.0,0.3656140350877193,0.5733333333333334,0.15789473684210525,0.31719298245614036,89,17.8,35900.001525878906,88,17.6,35099.998474121094,81,16.2,39200.00076293945,29,5.8,38799.99923706055,34,6.8,35900.001525878906,14,2.8,35099.998474121094,15,3.0,39200.00076293945,65,13.0,38799.99923706055,30376.0,51008.8,54209.2,22240.4,54400.4,58960.2,22526.0,19091.6
2,5.0,5.0,0.504108452785194,0.5515695067264574,0.45664739884393063,0.247945773607403,94,18.8,35900.001525878906,79,15.8,35200.00076293945,93,18.6,39200.00076293945,33,6.6,38900.001525878906,36,7.2,35900.001525878906,14,2.8,35200.00076293945,7,1.4,39200.00076293945,40,8.0,38900.001525878906,30583.8,51039.0,54277.4,22282.6,54545.4,58970.4,22682.2,19072.6
3,10.0,5.0,0.3454502257068187,0.5652173913043478,0.12568306010928962,0.32727488714659064,89,17.8,35799.99923706055,73,14.6,35099.998474121094,82,16.4,39099.998474121094,21,4.2,38799.99923706055,35,7.0,35799.99923706055,10,2.0,35099.998474121094,16,3.2,39099.998474121094,64,12.8,38799.99923706055,30948.0,51371.2,54275.8,22483.6,54688.8,59010.6,22743.2,19089.8
4,15.0,5.0,0.387719298245614,0.4421052631578947,0.3333333333333333,0.306140350877193,87,17.4,35799.99923706055,50,10.0,35299.99923706055,100,20.0,39299.99923706055,28,5.6,38500.0,36,7.2,35799.99923706055,17,3.4,35299.99923706055,13,2.6,39299.99923706055,51,10.2,38500.0,31088.2,51462.6,54380.2,22500.0,54647.0,59109.6,22701.2,19054.6
