scan_timestamp_utc,scan_timestamp_local,record_id,curated_window,curated_mode,curated_experiment,matching_key_type,matching_run_count,matching_unique_run_data_row,matching_alice_file,matching_alice_results_line_numbers,matching_zerothird_results_data_rows,path
2026-07-10T09:31:47.568527+00:00,2026-07-10T11:31:47.568527+02:00,QKD,"475 ps, 3 sigma",optimize,QKD+CHSH,record_id_and_timestamp,1,1250,alice_QKD_20260710T093147.568527Z_exp_20.0s.bin,32508-32509,2030-2031,Data/DelayScans/initial_delay_scans_QKD_20260710T093147.568527Z.png
2026-07-10T10:50:07.229271+00:00,2026-07-10T12:50:07.229271+02:00,QKD,"475 ps, 3 sigma",optimize,QKD+CHSH,record_id_and_timestamp,1,1371,alice_QKD_20260710T105007.229271Z_exp_20.0s.bin,32750-32751,2272-2273,Data/DelayScans/initial_delay_scans_QKD_20260710T105007.229271Z.png
2026-07-10T11:24:42.152207+00:00,2026-07-10T13:24:42.152207+02:00,QKD,"475 ps, 3 sigma",optimize,QKD+CHSH,record_id_and_timestamp,1,1378,alice_QKD_20260710T112442.152207Z_exp_20.0s.bin,32764-32765,2286-2287,Data/DelayScans/initial_delay_scans_QKD_20260710T112442.152207Z.png
2026-07-10T11:26:34.378200+00:00,2026-07-10T13:26:34.378200+02:00,QKD,"475 ps, 3 sigma",optimize,QKD+CHSH,record_id_and_timestamp,1,1379,alice_QKD_20260710T112634.378200Z_exp_20.0s.bin,32766-32767,2288-2289,Data/DelayScans/initial_delay_scans_QKD_20260710T112634.378200Z.png
2026-07-10T11:29:17.782099+00:00,2026-07-10T13:29:17.782099+02:00,QKD,"475 ps, 3 sigma",optimize,QKD+CHSH,record_id_and_timestamp,1,1380,alice_QKD_20260710T112917.782099Z_exp_20.0s.bin,32768-32769,2290-2291,Data/DelayScans/initial_delay_scans_QKD_20260710T112917.782099Z.png
2026-07-10T12:03:56.842504+00:00,2026-07-10T14:03:56.842504+02:00,QKD,"160 ps, 1 sigma",optimize,QKD+CHSH,record_id_and_timestamp,1,1381,alice_QKD_20260710T120356.842504Z_exp_20.0s.bin,32770-32771,2292-2293,Data/DelayScans/initial_delay_scans_QKD_20260710T120356.842504Z.png
2026-07-10T13:53:31.959654+00:00,2026-07-10T15:53:31.959654+02:00,QKD,"160 ps, 1 sigma",optimize,QKD+CHSH,record_id_and_timestamp,1,1587,alice_QKD_20260710T135331.959654Z_exp_20.0s.bin,33131,2653,Data/DelayScans/initial_delay_scans_QKD_20260710T135331.959654Z.png
2026-07-10T14:23:45.347014+00:00,2026-07-10T16:23:45.347014+02:00,QKD,"160 ps, 1 sigma",optimize,QKD+CHSH,record_id_and_timestamp,1,1660,alice_QKD_20260710T142345.347014Z_exp_5.0s.bin,33204-33205,2726-2727,Data/DelayScans/initial_delay_scans_QKD_20260710T142345.347014Z.png
2026-07-10T16:04:52.416132+00:00,2026-07-10T18:04:52.416132+02:00,QKD,"160 ps, 1 sigma",optimize,QKD+CHSH,record_id_and_timestamp,1,2013,alice_QKD_20260710T160452.416132Z_exp_5.0s.bin,33910-33911,3432-3433,Data/DelayScans/initial_delay_scans_QKD_20260710T160452.416132Z.png
2026-07-10T16:36:43.556857+00:00,2026-07-10T18:36:43.556857+02:00,QKD,"160 ps, 1 sigma",optimize,QKD+CHSH,record_id_and_timestamp,1,2125,alice_QKD_20260710T163643.556857Z_exp_5.0s.bin,34134-34135,3656-3657,Data/DelayScans/initial_delay_scans_QKD_20260710T163643.556857Z.png
2026-07-10T17:13:16.792890+00:00,2026-07-10T19:13:16.792890+02:00,QKD,"160 ps, 1 sigma",optimize,QKD+CHSH,record_id_and_timestamp,1,2265,alice_QKD_20260710T171316.792890Z_exp_5.0s.bin,34414-34415,3936-3937,Data/DelayScans/initial_delay_scans_QKD_20260710T171316.792890Z.png
2026-07-10T17:14:39.658711+00:00,2026-07-10T19:14:39.658711+02:00,QKD,"160 ps, 1 sigma",optimize,QKD+CHSH,record_id_and_timestamp,1,2270,alice_QKD_20260710T171439.658711Z_exp_5.0s.bin,34424-34425,3946-3947,Data/DelayScans/initial_delay_scans_QKD_20260710T171439.658711Z.png
2026-07-10T17:28:12.306558+00:00,2026-07-10T19:28:12.306558+02:00,QKD,"160 ps, 1 sigma",optimize,QKD+CHSH,record_id_and_timestamp,1,2273,alice_QKD_20260710T172812.306558Z_exp_5.0s.bin,34430-34431,3952-3953,Data/DelayScans/initial_delay_scans_QKD_20260710T172812.306558Z.png
2026-07-10T18:27:48.438966+00:00,2026-07-10T20:27:48.438966+02:00,QKD,"160 ps, 1 sigma",optimize,QKD+CHSH,record_id_and_timestamp,1,2508,alice_QKD_20260710T182748.438966Z_exp_5.0s.bin,34841-34842,4363-4364,Data/DelayScans/initial_delay_scans_QKD_20260710T182748.438966Z.png
2026-07-11T07:26:05.161601+00:00,2026-07-11T09:26:05.161601+02:00,QKD,750 ps,optimize,QKD+CHSH,record_id_and_timestamp,1,5780,alice_QKD_20260711T072605.161601Z_exp_5.0s.bin,39170-39171,8692-8693,Data/DelayScans/initial_delay_scans_QKD_20260711T072605.161601Z.png
2026-07-11T13:11:54.140193+00:00,2026-07-11T15:11:54.140193+02:00,QKD,"320 ps, 2 sigma",optimize,QKD+CHSH,record_id_and_timestamp,1,7232,alice_QKD_20260711T131154.140193Z_exp_5.0s.bin,41236-41237,10758-10759,Data/DelayScans/initial_delay_scans_QKD_20260711T131154.140193Z.png
2026-07-11T21:09:04.138648+00:00,2026-07-11T23:09:04.138648+02:00,QKD,"320 ps, 2 sigma",stability_monitor,QKD+CHSH,record_id_and_timestamp,1,9220,alice_QKD_20260711T210904.138648Z_exp_5.0s.bin,43501-43502,13023-13024,Data/DelayScans/initial_delay_scans_QKD_20260711T210904.138648Z.png
2026-07-12T07:44:49.021540+00:00,2026-07-12T09:44:49.021540+02:00,QKD,"475 ps, 3 sigma",stability_monitor,QKD+CHSH,record_id_and_timestamp,1,11979,alice_QKD_20260712T074449.021540Z_exp_5.0s.bin,48948-48949,18470-18471,Data/DelayScans/initial_delay_scans_QKD_20260712T074449.021540Z.png
