timestamp,S_value,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA
1762249546.7541337,1.99866,-0.82591,0.26977,0.40171,-0.50127,22,220,231,21,105,75,82,168,173,61,79,155,36,165,130,62
1762249552.68297,1.83789,-0.5154,-0.72637,0.27231,-0.32381,71,162,207,47,15,171,176,40,147,65,94,131,51,153,125,91
1762249558.5946708,1.80262,-0.236,0.28571,0.86124,0.41966,97,139,170,94,101,68,82,169,195,13,16,194,164,73,48,132
1762249564.537652,2.81272,-0.74286,0.65948,-0.67925,-0.73113,34,198,229,29,165,29,50,220,37,169,187,31,13,175,192,44
1762249573.7020767,2.73979,-0.72921,0.73248,-0.5819,-0.6962,33,214,233,37,178,14,49,230,42,167,200,55,12,188,147,48
1762249582.9950035,2.6244,-0.71014,0.64731,-0.60435,-0.66259,36,217,196,34,159,24,58,224,47,179,190,44,16,174,166,53
1762249590.084602,2.71724,-0.78571,0.57108,-0.57794,-0.78251,25,196,229,26,127,24,65,199,44,150,179,44,8,193,184,38
