timestamp,S_value,S_err,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA
1763542115.7739,2.42864,0.09335,0.9281,-0.36709,0.15068,0.98276,177,8,3,118,33,89,73,42,59,41,52,67,108,1,1,122
1763542121.192059,2.40928,0.09244,0.89619,-0.2988,0.2437,0.97059,139,12,3,135,28,92,71,60,61,40,50,87,93,1,2,108
1763542126.5554216,2.41609,0.09137,0.92834,-0.24427,0.24348,1.0,170,9,2,126,40,81,82,59,60,44,43,83,88,0,0,103
1763542131.9029744,2.61345,0.09132,0.91822,-0.43284,0.2963,0.9661,141,9,2,117,35,97,95,41,71,39,37,69,85,3,0,89
1763542138.2637477,2.43206,0.09588,0.95161,-0.25,0.25888,0.97156,123,6,0,119,44,84,76,52,56,36,37,68,84,0,3,124
1763542143.6900284,2.51321,0.09534,0.93571,-0.3253,0.28571,0.96648,130,7,2,141,32,90,75,52,59,39,31,67,81,2,1,95
1763542150.0718336,2.64029,0.08872,0.95506,-0.38745,0.34222,0.95556,154,4,2,107,27,100,88,56,69,35,39,82,79,2,2,97
1763542156.388692,2.51177,0.09247,0.91781,-0.36398,0.27442,0.95556,154,7,5,126,28,97,81,55,55,34,44,82,91,2,3,129
1763542162.6831942,2.64805,0.08855,0.95294,-0.35135,0.37391,0.96985,130,6,0,119,33,90,85,51,87,39,33,71,86,2,1,110
1763542168.9852655,2.39673,0.09637,0.92308,-0.32479,0.17703,0.97183,147,7,3,103,29,74,81,50,60,41,45,63,91,1,2,119
1763542174.3951135,2.38141,0.09451,0.89928,-0.23875,0.26368,0.9797,149,14,0,115,45,90,89,65,64,32,42,63,82,2,0,113
1763542179.820698,2.69091,0.08806,0.94406,-0.45848,0.29858,0.9898,145,7,1,133,29,105,97,46,67,31,43,70,85,0,1,110
1763542186.2250304,2.45907,0.09202,0.90175,-0.3253,0.2636,0.96842,149,11,3,122,37,86,79,47,74,40,48,77,81,2,1,106
1763542191.6270897,2.50997,0.0925,0.93728,-0.27692,0.32367,0.97209,153,7,2,125,43,91,75,51,64,37,33,73,103,1,2,109
1763542198.0177064,2.55011,0.09143,0.92593,-0.3193,0.34884,0.95604,144,9,0,90,43,100,88,54,72,27,43,73,87,1,3,91
1763542204.32801,2.52072,0.09079,0.91696,-0.27341,0.33036,1.0,158,11,1,119,37,85,85,60,72,40,35,77,83,0,0,96
1763542210.6426888,2.4213,0.091,0.92537,-0.31429,0.2381,0.94355,149,8,2,109,41,99,85,55,59,43,45,84,96,3,4,145
1763542216.0540223,2.5506,0.09273,0.91919,-0.26016,0.39252,0.97872,165,10,2,120,39,78,77,52,83,27,38,66,84,2,0,102
1763542222.4607675,2.44042,0.092,0.92568,-0.25869,0.27679,0.97927,145,11,0,140,44,86,77,52,73,34,47,70,76,1,1,115
1763542227.8709579,2.60742,0.08785,0.93772,-0.29771,0.39241,0.97959,122,9,0,158,35,92,78,57,71,31,41,94,87,1,1,107
1763542234.2581975,2.57512,0.09294,0.94982,-0.39416,0.31034,0.92079,130,6,1,142,35,104,87,48,61,31,39,72,84,5,3,110
1763542240.5783007,2.65514,0.08847,0.90909,-0.36029,0.3964,0.98936,132,11,2,141,32,93,92,55,74,37,30,81,87,1,0,100
1763542246.8596303,2.44068,0.09165,0.92491,-0.27881,0.28696,0.95,159,10,1,123,34,86,86,63,68,34,48,80,87,3,2,108
1763542252.2253394,2.44181,0.0974,0.88612,-0.30924,0.30392,0.94253,139,13,3,126,34,82,81,52,65,31,40,68,74,3,2,95
1763542257.5751545,2.72566,0.088,0.93684,-0.36709,0.4322,0.98953,146,7,2,130,29,89,73,46,81,36,31,88,83,1,0,107
1763542263.9291286,2.5552,0.09164,0.93146,-0.35507,0.29126,0.9774,179,9,2,131,33,97,90,56,62,38,35,71,75,0,2,100
1763542270.219335,2.50768,0.09554,0.93077,-0.30909,0.277,0.99083,134,7,2,117,34,81,63,42,69,36,41,67,106,1,0,111
1763542276.5235627,2.61688,0.09245,0.95238,-0.32812,0.38235,0.95402,153,7,0,134,31,95,75,55,66,29,34,75,77,1,3,93
1763542282.8115516,2.58538,0.09142,0.94366,-0.3463,0.31455,0.98086,150,8,0,126,36,88,85,48,60,36,37,80,96,2,0,111
1763542289.1210747,2.51581,0.09068,0.93822,-0.29323,0.32174,0.96262,136,7,1,115,33,86,86,61,73,39,39,79,97,4,0,113
1763542295.4406877,2.38729,0.09635,0.92143,-0.20851,0.2891,0.96825,145,6,5,124,44,79,63,49,55,37,38,81,86,2,1,100
