timestamp,S_value,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA
1762249339.031591,1.92325,-0.82536,0.22269,0.45585,-0.41935,15,205,234,27,138,83,102,153,140,45,69,165,48,138,148,69
1762249344.9305396,1.99921,-0.57563,-0.78969,0.29384,-0.34005,63,173,202,38,10,219,215,41,152,61,88,121,62,129,137,69
1762249350.824826,1.95071,-0.32917,0.28542,0.83863,0.49749,81,148,171,80,141,71,103,172,168,12,21,208,137,68,32,161
1762249356.8114264,2.7054,-0.75052,0.62527,-0.62025,-0.70936,27,199,222,33,161,30,56,212,47,183,201,43,22,190,157,37
1762249372.669461,2.74037,-0.70909,0.63229,-0.60829,-0.7907,38,181,195,26,148,31,51,216,41,178,171,44,14,176,209,31
1762249381.835045,2.60389,-0.72211,0.59623,-0.56211,-0.72346,38,175,234,28,208,48,59,215,40,176,195,64,14,167,182,42
1762249393.4079301,2.63303,-0.78402,0.65714,-0.54884,-0.64303,27,205,208,23,156,21,57,221,48,172,161,49,17,157,179,56
