timestamp,S_value,S_err,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA
1762553355.4818852,2.71994,0.06978,0.65778,-0.71028,0.66871,0.68317,243,50,27,130,42,264,102,20,257,45,36,151,212,50,14,128
1762553363.7873893,2.68602,0.07006,0.63124,-0.72807,0.63478,0.69193,262,63,22,114,44,286,108,18,242,50,34,134,203,54,9,143
1762553372.0557697,2.81643,0.06715,0.72458,-0.71694,0.68261,0.69231,288,48,17,119,36,268,102,25,230,33,40,157,224,62,4,139
1762553380.339486,2.67622,0.0686,0.67635,-0.73568,0.6318,0.63239,271,58,20,133,41,283,111,19,251,45,43,139,222,66,18,151
1762553388.634982,2.75676,0.06741,0.67382,-0.68526,0.71492,0.68276,269,56,20,121,58,308,115,21,253,35,29,132,228,49,20,138
1762553396.9838037,2.72981,0.0695,0.63964,-0.69099,0.70507,0.69412,258,62,18,106,54,282,112,18,239,33,31,131,212,51,14,148
1762553405.2567015,2.71099,0.0693,0.64835,-0.70601,0.68849,0.66814,244,53,27,131,50,284,99,16,231,41,28,143,239,62,13,138
1762553413.547647,2.68989,0.06844,0.61811,-0.70089,0.69912,0.67177,300,67,30,111,46,269,112,21,241,43,25,143,235,66,9,147
1762553421.8535712,2.75453,0.06775,0.69636,-0.71806,0.7286,0.61151,291,63,12,128,41,287,103,23,234,31,34,180,196,64,17,140
1762553430.1360722,2.76966,0.06861,0.67949,-0.77629,0.63333,0.68056,259,60,15,134,37,285,112,13,221,44,33,122,227,54,15,136
1762553438.4420698,2.7113,0.07051,0.65517,-0.70574,0.6715,0.6789,268,62,23,140,42,240,102,17,216,39,29,130,233,59,11,133
1762553446.7301576,2.67286,0.07013,0.62821,-0.67329,0.6849,0.68646,270,66,21,111,54,272,107,20,230,38,34,155,209,56,10,146
1762553455.0207875,2.56021,0.07303,0.65766,-0.6611,0.62077,0.62069,258,57,19,110,50,257,91,21,225,51,33,134,217,72,16,159
1762553463.3316238,2.73345,0.06913,0.64557,-0.71837,0.69863,0.67089,275,65,19,115,49,289,132,20,229,34,32,143,204,49,16,126
1762553471.6208594,2.68809,0.06883,0.62628,-0.70231,0.68444,0.67506,272,71,20,124,47,282,124,24,247,44,27,132,230,57,14,136
1762553479.908198,2.63299,0.07069,0.65385,-0.72444,0.65919,0.59551,266,56,25,121,44,268,120,18,251,38,38,119,204,72,18,151
1762553488.2026422,2.61225,0.07192,0.58772,-0.71818,0.6619,0.64444,238,76,18,124,45,258,120,17,228,28,43,121,217,68,12,153
1762553496.5080197,2.68064,0.06987,0.66596,-0.68142,0.6625,0.67076,279,60,19,115,47,272,108,25,252,44,37,147,208,57,10,132
1762553504.7932045,2.78751,0.06761,0.6453,-0.6962,0.75117,0.69484,257,59,24,128,47,284,118,25,236,32,21,137,221,49,16,140
1762553513.0991957,2.57869,0.07243,0.61247,-0.74419,0.62397,0.59806,274,63,24,88,34,273,102,21,245,46,45,148,197,71,12,133
1762553521.3820646,2.75543,0.06752,0.6871,-0.73653,0.66667,0.66514,278,59,15,121,41,312,123,25,225,34,40,145,236,65,8,127
1762553529.6882741,2.68214,0.06943,0.65587,-0.70626,0.65011,0.6699,259,55,30,150,49,269,126,19,241,47,34,141,202,57,11,142
1762553537.9824233,2.6291,0.07197,0.64844,-0.71983,0.62626,0.63457,282,65,25,140,43,283,116,22,207,36,38,115,201,56,18,130
1762553546.2819881,2.77882,0.06696,0.69672,-0.74014,0.66885,0.67312,294,56,18,120,36,269,106,20,232,36,40,151,237,55,21,152
1762553554.5723603,2.70311,0.06914,0.65462,-0.6822,0.70833,0.65796,280,59,27,132,56,284,113,19,249,31,32,120,209,59,13,140
1762553562.874976,2.73323,0.06869,0.62857,-0.74292,0.68352,0.67822,271,68,23,128,41,286,114,18,237,44,28,146,198,48,17,141
1762553571.1596682,2.7856,0.06807,0.67373,-0.75947,0.69231,0.6601,260,57,20,135,34,260,135,20,255,38,32,130,198,51,18,139
1762553579.4552202,2.59506,0.07218,0.64192,-0.73602,0.63158,0.58554,248,59,23,128,40,281,107,19,207,39,45,165,207,69,17,122
1762553587.8082697,2.75144,0.06748,0.67967,-0.73717,0.67483,0.65977,276,59,19,133,41,289,134,23,244,40,33,132,217,66,8,144
1762553596.0974596,2.70579,0.06843,0.56735,-0.75,0.74371,0.64474,252,78,28,132,42,283,102,13,249,30,26,132,226,71,10,149
1762553604.4158478,2.73128,0.06846,0.69794,-0.67521,0.71558,0.64255,264,44,22,107,46,277,115,30,230,29,34,150,230,66,18,156
1762553612.7166514,2.66383,0.07098,0.63747,-0.73333,0.68101,0.61201,272,68,21,130,39,276,114,21,208,33,30,124,211,70,14,138
1762553621.0348191,2.67322,0.06954,0.62553,-0.73529,0.67184,0.64055,254,62,26,128,44,289,124,19,229,37,37,148,228,63,15,128
1762553629.317326,2.67979,0.06861,0.64082,-0.71429,0.69333,0.63136,277,70,18,125,50,288,102,15,257,38,31,124,231,73,14,154
1762553637.625367,2.6734,0.07125,0.66667,-0.70241,0.67785,0.62648,256,54,16,94,43,273,116,25,247,38,34,128,207,61,18,137
1762553645.916776,2.67999,0.0699,0.69231,-0.62174,0.69444,0.6715,272,65,13,157,54,277,96,33,231,33,33,135,218,56,12,128
1762553654.2148843,2.7286,0.06728,0.62828,-0.73166,0.72597,0.64269,264,69,23,139,48,302,111,16,268,37,30,154,201,66,11,153
1762553662.5234742,2.67342,0.07013,0.63797,-0.73389,0.6278,0.67376,241,67,15,130,36,313,104,28,230,41,42,133,203,55,14,151
1762553670.8386023,2.79681,0.06694,0.73222,-0.75847,0.6967,0.60941,292,48,16,122,40,299,116,17,250,39,30,136,203,70,13,139
1762553679.145224,2.71944,0.06902,0.6556,-0.73154,0.71002,0.62228,265,66,17,134,42,290,97,18,257,41,27,144,213,65,13,122
