timestamp,S_value,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA
1762251102.6515238,1.08016,-0.30252,-0.02174,0.75275,0.00315,157,3,307,9,61,109,173,209,318,15,30,1,142,150,8,17
1762251106.404633,0.8382,-0.17365,0.21788,0.4375,-0.00917,60,4,94,9,33,27,43,76,92,9,27,0,45,42,13,9
1762251110.201722,1.08058,-0.18012,0.07692,0.69748,0.12605,60,6,89,6,42,36,42,49,100,4,14,1,50,35,17,17
1762251114.0520108,0.89344,-0.72414,-0.0137,-0.12857,-0.02703,18,2,123,2,10,12,62,62,49,3,76,12,23,40,36,49
1762251117.8091667,0.95418,0.28358,-0.19424,0.34815,-0.12821,83,6,42,3,29,68,15,27,84,7,37,7,26,56,10,25
1762251121.587788,1.26161,0.01266,-0.36842,0.31387,0.56667,43,9,69,37,28,18,73,14,86,38,9,4,87,14,12,7
1762251125.3298423,0.62682,-0.26797,0.12418,0.168,-0.06667,28,14,83,28,17,24,43,69,68,41,11,5,36,50,6,13
1762251129.0477717,0.29948,-0.01961,0.12397,-0.02985,0.12605,20,27,51,55,12,27,26,56,51,61,8,14,56,47,5,11
1762251132.7904706,0.90086,-0.16883,0.13208,0.57025,0.0297,49,4,86,15,21,32,37,69,93,13,13,2,43,42,7,9
1762251136.5245655,0.75182,-0.175,-0.05556,0.12782,0.39344,27,24,70,39,16,21,55,52,68,53,5,7,70,30,7,15
1762251140.250079,0.18946,-0.01099,-0.0303,0.03279,0.11538,36,28,64,54,23,28,57,57,60,56,3,3,54,37,9,4
1762251144.0690916,1.28551,-0.33835,0.22699,0.616,0.10417,30,3,86,14,19,19,44,81,97,12,12,4,45,41,2,8
1762251147.8253605,0.14911,-0.03817,-0.04,-0.00787,0.06306,12,20,48,51,11,22,43,49,54,60,4,9,45,43,9,14
1762251151.6028016,0.96243,-0.22481,0.08235,0.47009,0.18519,33,10,69,17,27,26,52,65,82,23,8,4,56,36,8,8
1762251155.376032,1.28024,0.51351,0.12782,0.50847,0.13043,107,5,31,5,59,38,20,16,87,3,26,2,60,42,18,18
1762251159.1897166,0.90976,0.03704,0.01961,0.53968,0.31343,63,4,61,7,54,23,52,24,95,7,22,2,75,24,22,13
1762251162.9853947,1.08023,0.15385,-0.19512,0.64615,0.08511,73,5,50,2,34,46,52,32,106,14,9,1,47,41,2,4
1762251166.7940452,0.66941,-0.45038,-0.16556,0.01587,0.03759,34,0,95,2,21,17,71,42,62,3,59,2,39,30,34,30
1762251170.6886995,1.1694,0.04403,0.00599,0.83784,0.28155,80,1,75,3,59,32,51,25,101,2,7,1,61,33,4,5
1762251174.4805377,1.26297,0.07955,-0.06849,0.70079,0.41414,81,8,73,14,42,22,56,26,106,13,6,2,66,27,2,4
1762251178.26944,1.76082,0.25,0.21212,0.72727,0.57143,100,20,46,10,68,16,36,12,94,10,5,1,76,16,5,1
1762251182.109878,1.45821,0.11392,0.69655,0.26562,0.38211,85,51,19,3,121,10,12,2,66,27,20,15,80,4,34,5
1762251185.953514,1.20678,0.16667,0.32857,0.25,0.46154,76,29,36,15,86,17,30,7,64,26,16,6,73,12,16,3
1762251189.769723,1.2687,-0.04575,0.14516,0.80328,0.27451,65,6,74,8,38,18,35,33,110,8,4,0,65,35,2,0
1762251193.6022494,0.66893,-0.01408,-0.03797,0.10744,0.50943,42,21,51,28,59,6,76,17,54,40,14,13,76,9,17,4
1762251197.3612225,0.98783,-0.05195,0.04403,0.65657,0.23529,66,10,71,7,57,27,49,26,81,10,7,1,62,32,7,1
1762251201.16081,1.31569,0.03401,0.13907,0.96078,0.18182,74,2,69,2,42,22,43,44,100,1,1,0,64,42,3,1
1762251204.9889023,1.75525,0.26389,0.26582,0.77099,0.45455,89,4,49,2,84,22,36,16,113,9,6,3,66,22,5,6
1762251208.777914,1.35212,0.09412,0.0184,0.81102,0.42857,84,9,68,9,52,23,57,31,115,9,3,0,74,26,4,1
1762251212.5921044,1.58975,0.19728,0.04286,0.78295,0.56667,82,7,52,6,53,21,46,20,115,9,5,0,93,22,4,1
1762251216.3822103,1.65959,-0.09317,0.11111,0.65714,0.79817,62,19,69,11,60,14,50,20,87,17,1,0,98,11,0,0
1762251220.1717174,1.6742,0.33803,0.26316,0.62857,0.44444,89,16,31,6,75,21,35,21,114,16,10,0,77,23,7,1
1762251224.0045187,1.45607,0.13043,0.00671,0.73333,0.58559,74,8,52,4,61,24,50,14,104,10,6,0,85,22,1,3
1762251227.732712,1.25603,0.14286,0.12987,0.55738,0.42593,76,8,52,4,57,28,39,30,95,14,13,0,71,22,9,6
1762251231.5382144,1.23785,-0.01961,0.06667,0.67241,0.47917,60,14,64,15,61,15,48,11,97,14,5,0,71,17,8,0
1762251235.374552,1.40526,0.02299,0.22581,0.79439,0.36207,81,15,70,8,71,17,43,24,96,7,4,0,78,36,1,1
1762251239.2052684,1.47898,0.25161,0.28467,0.40171,0.54098,88,23,35,9,78,17,32,10,78,22,13,4,88,16,12,6
