timestamp,S_value,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA
1762249776.8819168,1.89926,-0.81933,0.15063,0.41687,-0.51244,24,207,226,19,112,82,121,163,149,52,69,145,42,177,127,56
1762249782.8262582,2.02504,-0.55902,-0.74713,0.26389,-0.455,60,173,177,39,15,187,193,40,134,73,86,139,36,163,128,73
1762249788.7909212,1.84741,-0.26337,0.28,0.86842,0.43562,87,146,161,92,126,62,100,162,228,17,13,198,101,74,29,161
1762249794.7302547,2.64408,-0.71774,0.60262,-0.65455,-0.66917,28,191,235,42,160,29,62,207,39,185,179,37,21,177,156,45
1762249802.2742913,2.8049,-0.76392,0.69261,-0.65217,-0.6962,27,181,215,26,194,23,56,241,37,163,179,35,19,170,165,41
1762249807.5183127,2.81628,-0.73448,0.65688,-0.6875,-0.73742,31,192,213,31,178,26,50,189,32,176,202,38,18,187,210,42
1762249812.7704318,2.71502,-0.71368,0.66667,-0.63311,-0.70157,26,180,221,41,190,33,51,230,39,176,189,43,7,158,167,50
1762249818.0158591,2.74045,-0.67623,0.66893,-0.6728,-0.72249,39,178,231,40,176,21,52,192,38,204,205,42,16,178,182,42
1762249823.2652829,2.79102,-0.71321,0.68737,-0.67338,-0.71707,37,234,220,39,170,21,52,224,32,190,184,41,12,198,154,46
