timestamp,S_value,S_err,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA
1762506001.9543233,2.60242,0.08292,0.77358,0.6092,-0.63964,0.58,190,22,20,139,158,48,20,122,23,193,80,37,149,51,12,88
1762506007.1946533,2.64412,0.08406,0.76,0.5619,-0.68263,0.63958,166,25,17,142,134,43,26,112,12,214,67,41,125,41,10,107
1762506012.444677,2.87787,0.07806,0.78852,0.70182,-0.63112,0.75641,151,20,15,145,138,21,20,96,30,194,89,34,169,31,7,105
1762506017.6728368,2.70779,0.08104,0.75979,0.58537,-0.70746,0.65517,198,22,24,139,142,43,25,118,13,205,81,36,148,40,10,92
1762506022.9102182,2.68031,0.08179,0.82663,0.64242,-0.6463,0.56495,153,16,12,142,157,43,16,114,25,185,71,30,165,58,14,94
1762506063.2254322,2.73162,0.07665,0.775,0.6648,-0.65879,0.63303,209,32,13,146,174,36,24,124,19,229,87,46,169,52,8,98
1762506068.4650009,2.77101,0.07714,0.7861,0.64444,-0.68208,0.65839,189,22,18,145,172,38,26,124,23,211,80,32,154,47,8,113
1762506073.6952493,2.66838,0.0806,0.77515,0.56342,-0.70149,0.62832,179,26,12,121,148,45,29,117,14,213,72,36,166,53,10,110
1762506078.9351838,2.77006,0.07998,0.72121,0.65031,-0.7673,0.63125,158,20,26,126,148,25,32,121,17,197,84,20,155,44,15,106
1762506084.1723223,2.65564,0.08269,0.74566,0.61635,-0.61078,0.68285,172,28,16,130,136,30,31,121,21,200,69,44,161,37,12,99
1762506089.4321618,2.7092,0.08166,0.7191,0.62424,-0.71429,0.65157,164,33,17,142,143,35,27,125,25,204,84,23,152,43,7,85
1762506094.6610181,2.70566,0.08071,0.76786,0.59133,-0.63218,0.71429,191,21,18,106,149,32,34,108,24,201,83,40,166,37,8,104
1762506099.9082148,2.74476,0.08211,0.74419,0.68944,-0.65753,0.65359,185,24,20,115,152,30,20,120,19,178,64,31,140,46,7,113
1762506105.141522,2.74596,0.07984,0.74269,0.59763,-0.73574,0.6699,156,23,21,142,142,36,32,128,13,206,83,31,160,44,7,98
1762506110.4084675,2.88406,0.07472,0.80267,0.66972,-0.7809,0.63077,176,20,17,162,162,40,14,111,11,235,82,28,159,48,12,106
1762506204.6046956,2.65921,0.07863,0.74005,0.59229,-0.6573,0.66957,191,26,23,137,166,44,30,123,21,214,81,40,174,48,9,114
1762506209.869507,2.67327,0.08187,0.76232,0.66382,-0.69811,0.54902,189,25,16,115,164,26,33,128,19,163,107,29,145,56,13,92
1762506215.1054182,2.87163,0.07474,0.78223,0.68615,-0.71649,0.68675,175,23,15,136,167,26,25,107,28,245,88,27,158,36,16,122
1762506220.3455234,2.87783,0.07757,0.75723,0.7,-0.65789,0.76271,176,31,11,128,166,25,26,123,18,181,71,34,159,31,4,101
1762506225.5829952,2.73472,0.0787,0.68365,0.64985,-0.67089,0.73034,173,32,27,141,161,30,29,117,21,188,76,31,209,44,4,99
1762506230.825283,2.82871,0.07657,0.7628,0.68627,-0.72174,0.65789,186,23,21,141,172,38,18,129,17,210,87,31,163,44,8,89
1762506236.0715623,2.82037,0.07921,0.71268,0.67857,-0.79522,0.6339,183,29,22,121,153,33,21,129,9,191,72,21,140,43,11,101
1762506241.3214269,2.7515,0.08012,0.77528,0.62048,-0.72434,0.6314,163,20,20,153,154,37,26,115,13,201,93,34,143,43,11,96
1762506246.58494,2.7558,0.08131,0.76656,0.64331,-0.6858,0.66013,164,24,13,116,138,32,24,120,18,197,82,34,166,39,13,88
1762506251.828817,2.78996,0.07902,0.73832,0.67398,-0.69186,0.6858,159,24,18,120,161,31,21,106,20,211,80,33,171,41,11,108
1762506257.0600746,2.74446,0.08173,0.74803,0.63754,-0.69811,0.66078,186,28,20,147,149,35,21,104,15,192,78,33,135,39,9,100
1762506262.3110156,2.79163,0.07821,0.78016,0.64706,-0.67066,0.69375,182,25,16,150,132,27,30,134,21,195,84,34,158,39,10,113
1762506267.5483763,2.77209,0.08017,0.70201,0.70997,-0.67657,0.68354,170,31,21,127,158,28,20,125,19,184,70,30,155,37,13,111
1762506272.7947543,2.72391,0.08008,0.69275,0.6375,-0.73294,0.66071,183,30,23,109,150,37,21,112,19,208,84,26,167,50,7,112
1762506278.0333238,2.5994,0.08258,0.76531,0.62658,-0.58659,0.62092,187,22,24,159,163,34,25,94,30,208,76,44,140,46,12,108
1762506283.2758038,2.72541,0.07977,0.70605,0.66766,-0.72941,0.62229,170,25,26,126,157,37,19,124,16,204,90,30,153,47,14,109
1762506288.5158849,2.64472,0.08115,0.71848,0.6383,-0.68023,0.60772,164,28,20,129,178,42,26,130,22,215,74,33,140,47,14,110
1762506293.753718,2.80012,0.07972,0.75385,0.62536,-0.77143,0.64948,160,29,11,125,162,43,22,120,17,194,85,19,149,41,10,91
1762506298.9895258,2.78202,0.07983,0.77326,0.625,-0.68513,0.69863,174,19,20,131,160,33,27,100,22,209,80,32,160,34,10,88
1762506304.2300825,2.81844,0.07718,0.76687,0.6988,-0.72271,0.63006,161,23,15,127,148,33,17,134,22,210,82,25,158,52,12,124
1762506309.4607396,2.75042,0.08037,0.78761,0.65318,-0.68421,0.62542,190,20,16,113,164,38,22,122,19,193,79,32,154,46,10,89
1762506314.7056031,2.77043,0.08007,0.72781,0.68454,-0.66474,0.69333,177,32,14,115,148,35,15,119,24,182,106,34,159,38,8,95
1762506319.9460554,2.76065,0.07996,0.75429,0.66477,-0.71053,0.63107,176,28,15,131,171,38,21,122,18,176,84,26,160,47,10,92
1762506325.1792223,2.8198,0.07669,0.70262,0.67416,-0.74534,0.69767,165,27,24,127,168,30,28,130,16,189,92,25,175,45,7,117
1762506330.4154673,2.79706,0.07962,0.76836,0.65273,-0.7208,0.65517,177,25,16,136,148,37,17,109,15,223,79,34,144,45,5,96
1762506335.6521263,2.78305,0.07821,0.75138,0.66061,-0.67284,0.69822,197,31,14,120,146,34,22,128,23,169,102,30,174,43,8,113
1762506340.8967311,2.69296,0.08044,0.82143,0.55752,-0.73994,0.57407,170,18,12,136,151,41,34,113,15,203,78,27,160,49,20,95
1762506346.1453168,2.65944,0.08088,0.73639,0.67823,-0.6507,0.59412,180,27,19,123,162,26,25,104,20,196,97,42,154,53,16,117
1762506351.382779,2.68179,0.0817,0.68615,0.65432,-0.71856,0.62275,162,28,23,112,157,35,21,111,17,199,88,30,167,44,19,104
1762506356.6229742,2.73099,0.08127,0.70552,0.69552,-0.69132,0.63863,160,27,21,118,172,34,17,112,20,187,76,28,154,47,11,109
1762506361.8650014,2.90046,0.07387,0.7513,0.72892,-0.71585,0.7044,200,33,15,138,170,26,19,117,15,223,91,37,150,34,13,121
1762506367.1079075,2.85069,0.07858,0.7967,0.66984,-0.72238,0.66176,204,19,18,123,168,29,23,95,15,211,93,34,129,35,11,97
1762506372.360127,2.7118,0.0809,0.70029,0.58808,-0.74237,0.68106,173,27,25,122,157,44,32,136,14,180,77,24,152,36,12,101
1762506377.6022093,2.80708,0.0787,0.73887,0.68485,-0.7464,0.63696,172,28,16,121,162,29,23,116,10,213,90,34,132,40,15,116
1762506382.8429627,2.86808,0.07643,0.78571,0.64634,-0.72174,0.71429,174,17,22,151,162,31,27,108,13,199,98,35,155,37,6,103
1762506388.0944712,2.81491,0.07706,0.80556,0.62099,-0.7622,0.62617,187,19,16,138,165,43,22,113,20,201,88,19,150,52,8,111
1762506393.3556259,2.81392,0.07482,0.81266,0.61383,-0.70115,0.68627,188,17,20,170,168,35,32,112,21,209,87,31,178,40,16,123
1762506398.5978677,2.83372,0.07632,0.77528,0.68182,-0.65823,0.71839,174,19,21,142,172,37,19,124,22,180,82,32,175,41,8,124
1762506403.8383915,2.77102,0.07786,0.77591,0.68481,-0.65598,0.65432,185,22,18,132,178,31,24,116,24,197,87,35,162,48,8,106
1762506409.0741165,2.77736,0.07982,0.77473,0.61812,-0.69419,0.69032,193,24,17,130,163,27,32,87,23,192,85,27,153,42,6,109
1762506414.3402848,2.62266,0.08163,0.75862,0.61905,-0.6204,0.6246,182,27,15,124,170,47,21,119,25,199,87,42,140,48,10,111
1762506548.609849,0.75362,0.78012,0.65138,0.6,0.0,0.70225,164,31,26,106,2,0,1,2,0,2,0,2,192,39,14,111
