timestamp,S_value,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA
1762247057.6865985,1.81548,-0.77963,0.15955,0.39535,-0.48095,25,203,225,28,113,72,115,145,134,51,66,136,48,160,151,61
1762247068.633989,1.96026,-0.51566,-0.84651,0.28986,-0.30824,63,171,192,53,9,207,190,24,136,54,93,131,66,151,127,81
1762247079.5589867,1.82853,-0.18627,0.23651,0.86916,0.53659,78,105,137,88,124,87,97,174,195,12,16,205,153,51,44,162
1762247090.4501057,2.77811,-0.76699,0.6895,-0.62406,-0.69756,30,223,232,30,189,26,42,181,36,127,197,39,26,171,177,36
1762247101.364031,1.89921,0.38429,0.35814,0.28682,-0.86996,163,65,80,163,147,81,57,145,150,54,84,99,17,212,205,12
1762247112.3215003,2.47657,-0.464,-0.83656,0.80861,-0.3674,61,174,192,73,14,219,208,24,171,11,29,207,73,156,125,57
1762247123.231377,2.36513,-0.47705,0.6,-0.8533,-0.43478,47,184,186,84,157,35,52,191,15,155,224,15,47,138,159,70
1762247134.151111,1.52923,0.38189,0.09283,0.90698,0.14754,161,72,85,190,116,102,113,143,190,12,8,220,112,96,86,133
1762247145.0517092,2.37817,-0.89409,0.3853,0.29199,0.80679,11,214,251,15,121,55,83,190,131,56,81,119,157,28,9,189
1762247156.0079038,1.42017,-0.18443,0.00433,-0.81281,-0.4186,80,142,147,119,106,106,124,126,16,157,211,22,61,147,158,64
1762247166.9923213,1.54871,-0.40984,0.08597,0.90254,-0.15036,66,148,196,78,111,98,104,129,222,5,18,227,82,127,114,96
1762247177.999585,1.93089,-0.87302,0.19222,-0.4,-0.46565,14,227,245,18,131,94,93,145,63,111,148,48,48,161,127,57
1762247188.9806414,1.54087,-0.97303,-0.20968,0.05941,-0.29877,2,233,279,5,79,138,162,117,109,78,112,105,70,139,124,72
1762247199.979946,1.77446,-0.87946,0.12946,0.32135,-0.44418,15,197,224,12,107,93,102,146,125,59,92,169,58,172,132,59
1762247210.8979156,2.41252,-0.93778,-0.19822,0.309,-0.96752,7,218,218,7,86,120,149,94,112,53,89,157,5,207,217,2
1762247221.8399384,1.47545,-0.91736,0.36646,-0.07843,-0.11321,8,223,241,12,142,59,94,188,97,96,124,91,82,116,120,106
1762247232.7640424,2.67284,-0.68033,0.58852,-0.7389,-0.66509,39,192,218,39,163,33,53,169,27,144,189,23,23,177,176,48
1762247243.7177484,2.12704,-0.94872,-0.16411,0.15544,-0.85877,9,230,264,4,91,139,127,100,116,63,100,107,15,206,202,16
1762247254.6835706,2.31861,-0.90377,0.35242,-0.34085,-0.72158,12,215,240,11,125,67,80,182,49,80,158,68,19,207,164,41
