timestamp,S_value,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA
1762249913.3273044,1.54258,-0.26877,-0.01345,0.45161,0.80874,104,156,165,81,82,95,131,138,174,56,63,141,139,30,5,192
1762249919.277317,2.39374,0.80038,-0.45185,0.33981,0.8017,223,11,41,246,78,154,140,33,139,53,83,137,114,26,9,204
1762249925.1565247,1.90179,-0.32473,0.5966,-0.49109,0.48936,83,126,182,74,178,31,64,198,56,132,161,44,113,45,51,167
1762249931.05098,2.02554,-0.66228,-0.38106,0.67368,-0.30851,33,191,188,44,43,133,166,91,161,22,40,157,57,128,118,73
1762249936.9811184,2.47676,-0.42324,0.88646,0.87294,0.29412,87,135,208,52,197,3,23,235,186,16,11,212,111,79,47,120
1762249942.8792045,1.51615,-0.23789,0.0,0.41309,0.86517,94,116,165,79,99,115,107,123,166,58,72,147,132,18,6,200
1762249948.8082442,1.82903,-0.91793,0.3102,0.1327,0.46821,5,234,210,14,125,81,78,177,117,104,79,122,79,62,30,175
1762249954.7612398,1.84213,0.41935,0.42174,-0.14149,0.85955,156,58,86,196,147,66,67,180,83,119,119,96,118,15,10,213
1762249960.655055,1.90748,-0.42857,0.86237,0.43056,0.18598,75,150,210,69,193,9,23,240,159,52,71,150,84,74,77,136
1762249966.5976267,2.54557,0.42048,0.89167,0.75058,-0.48285,147,47,86,179,197,21,5,257,185,30,24,194,30,152,129,68
1762249975.0438058,2.69483,0.51417,0.87421,0.78753,-0.51892,176,35,85,198,191,25,5,256,192,24,22,195,32,156,125,57
1762249980.2877645,2.65116,0.48344,0.84821,0.81122,-0.50827,162,36,81,174,188,27,7,226,180,19,18,175,40,184,135,64
1762249985.5318193,2.56565,0.44016,0.83445,0.78406,-0.50698,174,58,80,181,178,28,9,232,150,27,15,197,38,172,152,68
1762249990.7788572,2.58336,0.46186,0.80645,0.81643,-0.49862,172,37,90,173,176,29,16,244,191,22,16,185,31,148,124,60
1762249996.0363963,2.57016,0.4187,0.85153,0.7659,-0.53403,146,46,97,203,196,25,9,228,166,34,12,181,27,178,115,62
