timestamp,S_value,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA
1762251585.5102973,1.50263,-0.2913,-0.69545,0.50239,-0.01348,69,161,136,94,33,160,213,34,126,57,47,188,70,97,91,113
1762251589.3760395,1.86361,-0.61809,0.17847,0.46705,-0.6,22,162,160,54,103,64,81,105,97,44,49,159,14,118,94,39
1762251593.2252185,1.88875,-0.17848,-0.85933,0.84384,-0.00709,76,137,104,92,10,169,135,13,149,17,9,158,67,72,70,73
1762251597.167764,1.46482,-0.55362,-0.41566,-0.44624,0.0493,33,146,122,44,61,113,122,36,25,157,112,78,74,67,68,75
1762251601.0593295,1.26041,0.3719,-0.63897,0.14062,0.10891,111,67,47,138,17,122,164,46,86,94,71,133,77,72,63,91
1762251604.9242718,1.70091,0.23077,-0.41691,0.34356,0.70968,96,82,48,112,42,121,122,58,90,53,54,129,116,24,21,149
1762251608.7845545,1.2064,0.06915,-0.30178,0.31464,-0.52083,115,95,80,86,64,91,129,54,85,45,65,126,22,118,101,47
1762251612.6580853,1.70051,0.24548,-0.70588,-0.2561,-0.49306,109,83,63,132,27,110,151,18,49,93,113,73,16,106,109,57
1762251616.544131,1.67337,-0.4578,-0.24179,0.49102,-0.48276,40,166,119,66,66,96,112,61,92,45,40,157,16,110,105,59
1762251620.4301655,1.64579,0.03614,-0.56707,-0.56522,-0.47735,90,92,68,82,40,113,144,31,30,125,127,40,21,108,104,54
1762251624.3339446,2.02589,-0.74619,0.24419,-0.30959,-0.72593,22,175,169,28,111,59,71,103,47,126,113,79,16,95,138,21
1762251628.2841563,1.93482,-0.29648,0.50678,-0.84103,-0.29054,55,124,134,85,129,25,66,149,11,175,184,20,49,89,102,56
1762251632.199267,1.50715,-0.08906,-0.66767,0.72515,0.02527,86,113,101,93,27,129,147,28,124,25,22,171,63,79,56,79
1762251636.063335,2.1063,-0.68718,-0.43931,0.41643,-0.56338,37,165,164,24,46,98,151,51,110,44,59,140,26,107,115,36
