timestamp,S_value,S_err,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA
1762530928.9199812,1.46434,0.07817,0.8211,0.195,-0.08483,0.92308,263,25,14,134,163,138,23,76,123,117,94,55,215,7,7,135
1762530941.3592124,1.27636,0.07734,0.82759,0.30882,-0.15707,0.91467,265,26,9,106,177,111,30,90,107,136,85,54,221,9,7,138
1762530965.2352757,1.30182,0.07868,0.78744,0.25187,-0.15306,0.91931,248,27,17,122,175,122,28,76,116,126,100,50,217,6,8,116
1762530971.1661427,2.43463,0.08049,0.55501,-0.58974,0.61053,0.67935,220,69,22,98,53,223,87,27,180,31,43,126,189,42,17,120
