timestamp,S_value,S_err,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA
1762524466.1498482,2.0582,0.08342,0.62319,-0.57176,0.68831,0.17493,225,66,12,111,47,236,98,44,204,31,29,121,123,121,37,102
1762524475.594069,1.95197,0.08547,0.57674,-0.61071,0.63686,0.12766,211,81,10,128,55,237,94,25,194,35,32,108,114,118,46,98
1762524481.5791872,2.47069,0.07645,0.73363,-0.47654,0.50369,0.75682,239,47,12,145,51,210,89,55,195,58,43,111,216,35,14,138
1762524487.568911,1.30528,0.0883,0.02604,0.07143,0.80093,0.54974,132,147,40,65,127,141,41,83,240,29,14,149,177,58,28,119
1762524493.582261,1.23467,0.09241,0.81687,-0.32632,-0.10026,0.19174,248,33,5,129,83,174,78,45,106,131,83,69,114,92,45,88
1762524499.5758574,1.43132,0.08891,0.42069,-0.80563,-0.03896,0.24397,200,96,30,109,25,249,104,13,120,137,63,65,139,121,20,93
1762524505.5103328,1.53005,0.08456,0.74874,0.09633,0.16031,0.71733,221,38,12,127,146,142,55,93,141,106,59,87,202,43,10,120
1762524511.475727,1.51395,0.08702,0.80095,-0.08428,0.37313,0.25558,235,34,8,145,126,160,78,75,171,65,61,105,138,112,38,115
1762524517.4217134,1.6543,0.08665,0.52645,-0.47867,-0.10082,0.75,186,61,33,117,68,216,96,42,119,112,90,46,185,25,22,144
1762524523.3943872,1.37733,0.0907,-0.02577,-0.63048,0.1105,0.66213,102,150,49,87,58,238,115,22,123,110,51,78,178,37,25,127
1762524529.3645172,1.69466,0.09012,0.63805,-0.37561,0.531,0.15,234,65,13,119,71,206,76,57,175,56,31,109,124,107,46,83
1762524535.4036844,0.54998,0.08412,0.48449,-0.83,-0.46231,-0.3022,211,87,21,100,17,279,87,17,71,198,93,36,69,175,62,58
