timestamp,S_value,S_err,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA
1763548069.6896968,2.14142,0.09499,0.99273,-0.04724,0.10145,1.0,159,0,1,115,74,72,61,47,59,44,49,55,103,0,0,93
1763548075.1070852,2.16934,0.09806,0.98496,-0.08403,0.16256,0.93778,154,1,1,110,58,80,49,51,55,47,38,63,105,3,4,113
1763548080.476384,2.22782,0.09817,0.96,-0.20769,0.15578,0.90435,177,2,4,117,49,81,76,54,53,37,47,62,112,5,6,107
1763548085.8564553,2.24248,0.09211,0.97778,-0.112,0.17949,0.97321,155,2,1,112,63,76,63,48,72,45,51,66,111,1,2,110
1763548091.256644,2.41646,0.09705,0.98473,-0.23664,0.26882,0.92627,152,2,0,108,62,93,69,38,67,34,34,51,111,4,4,98
1763548096.6385484,2.26158,0.09458,0.96875,-0.07857,0.24352,0.97073,154,1,3,98,74,79,72,55,62,30,43,58,102,2,1,100
1763548102.0212107,2.30315,0.09495,0.95205,-0.2342,0.17371,0.94318,145,3,4,140,58,91,75,45,68,36,52,57,85,3,2,86
1763548107.4193845,2.27182,0.08798,0.9708,-0.15018,0.17692,0.97391,144,3,1,126,65,84,73,51,78,38,69,75,120,1,2,107
1763548112.8543534,2.3915,0.09302,0.95652,-0.15751,0.31707,0.9604,152,1,5,118,64,92,66,51,75,33,37,60,86,3,1,112
1763548118.2396812,2.05759,0.10031,0.97101,-0.0237,0.09859,0.96429,145,0,4,127,58,61,47,45,51,37,59,66,75,1,2,90
1763548123.6644797,2.17318,0.09457,0.98639,-0.11588,0.11111,0.9598,159,1,1,133,61,73,57,42,75,49,55,55,90,1,3,105
1763548129.0814357,2.17414,0.09434,0.97015,-0.07116,0.19283,0.94,157,0,4,107,66,76,67,58,74,35,55,59,96,4,2,98
1763548134.4981797,2.08767,0.09397,0.97945,-0.02963,0.09859,0.98,174,0,3,115,62,80,59,69,65,39,57,52,97,2,0,101
1763548139.9358363,2.24277,0.09482,0.99251,-0.21116,0.07339,0.96571,159,1,0,107,53,88,64,46,69,37,64,48,88,0,3,84
1763548145.388405,2.3184,0.09504,0.98479,-0.19651,0.15741,0.9797,141,1,1,120,51,75,62,41,67,38,53,58,78,1,1,117
1763548150.8118794,2.10899,0.09806,0.97842,-0.10672,0.0625,0.96135,151,2,1,124,62,73,67,51,61,41,49,41,102,3,1,101
1763548156.2321336,2.16392,0.09675,0.97315,-0.20635,0.05714,0.92727,180,2,2,114,59,94,58,41,55,41,58,56,87,4,4,125
1763548161.6319306,2.26318,0.09327,0.95775,-0.17091,0.15385,0.98068,161,2,4,117,69,82,79,45,63,39,49,57,92,1,1,113
1763548167.0325747,2.23293,0.09465,0.97163,-0.11905,0.18349,0.95876,150,1,3,128,55,74,67,56,66,37,52,63,93,3,1,97
1763548172.436822,2.23623,0.09651,0.96129,-0.11475,0.18049,0.9797,151,2,4,153,65,76,60,43,54,40,44,67,93,0,2,102
1763548177.773968,2.24621,0.09645,0.95294,-0.20784,0.10448,0.98095,137,2,4,112,61,90,64,40,58,36,54,53,101,0,2,107
