timestamp,S_value,S_err,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA
1762528075.3478017,2.74484,0.07348,0.55349,-0.78446,0.78363,0.62327,203,74,22,131,18,260,96,25,167,19,18,138,157,51,17,136
1762528732.347026,1.84263,0.07644,0.96088,0.03518,-0.01105,0.92798,251,4,4,150,140,150,42,66,121,117,66,58,238,4,9,110
1762528752.8748357,1.79126,0.07418,0.95694,0.07022,-0.05291,0.95745,281,3,6,128,145,131,61,76,127,128,71,52,190,3,4,132
1762528781.9181435,1.86397,0.07337,0.96154,0.03226,-0.00485,0.93955,270,6,2,138,153,146,49,55,144,128,79,61,255,5,7,130
1762528796.9459968,1.83368,0.07883,0.953,0.09804,0.07143,0.90728,241,4,5,133,161,142,42,63,129,94,62,51,167,6,8,121
1762528802.9340467,2.47529,0.07817,0.5859,-0.64115,0.54286,0.70538,237,78,16,123,45,241,102,30,189,52,36,108,178,42,10,123
1762528808.8769143,0.96556,0.08469,-0.25243,-0.45455,0.90777,-0.14433,109,191,67,45,62,214,82,49,229,16,3,164,94,171,51,72
1762528814.8698058,1.2401,0.08842,0.73141,-0.21026,-0.32432,0.62275,218,40,16,143,85,153,83,69,65,177,68,60,162,52,11,109
1762528820.8969853,1.43373,0.08896,0.2241,-0.93531,0.11475,0.15957,156,121,40,98,8,262,97,4,120,119,43,84,134,126,32,84
1762528826.936095,1.49593,0.08702,0.73529,0.16146,0.31234,0.60976,248,41,22,165,137,107,54,86,151,98,33,99,179,54,18,118
1762528832.9207973,1.49383,0.08841,0.90995,-0.23261,0.29016,0.06111,262,13,6,141,101,193,64,59,143,80,57,106,100,124,45,91
1762528838.8882165,0.97307,0.08496,0.69784,0.14211,-0.37433,0.79167,234,32,31,120,139,128,35,78,67,172,85,50,173,20,15,128
1762528844.912828,0.51466,0.0902,-0.46479,-0.75111,0.30526,-0.07692,77,210,102,37,35,281,113,21,135,84,48,113,93,136,46,63
1762528850.8801012,1.66623,0.08861,0.4447,-0.30412,0.81572,0.10169,199,98,25,121,92,168,85,43,200,21,13,135,109,112,47,86
1762528856.847136,0.25863,0.09179,0.30097,0.37533,-0.34048,0.67347,177,100,44,91,173,90,29,89,71,171,79,52,167,24,32,120
1762528862.8302126,1.80085,0.08574,0.14679,-0.79558,0.63539,0.2231,163,133,53,87,18,234,91,19,184,46,22,121,140,96,52,93
1762528868.8058782,0.0,0.09081,0.43056,0.75962,0.02,-0.13623,195,83,40,114,228,35,15,138,122,130,66,82,78,145,51,71
1762528874.8524795,2.24954,0.07706,0.29524,-0.7931,0.89589,0.26531,172,108,40,100,28,274,116,17,204,6,13,142,161,107,37,87
1762528880.8164327,0.50195,0.09078,-0.11264,-0.81,0.07732,-0.27273,119,166,76,74,28,245,117,10,136,121,58,73,74,163,68,58
1762528886.8290038,2.19696,0.08023,0.80952,-0.38499,0.21925,0.7832,256,31,11,143,78,198,88,49,130,92,54,98,193,26,14,136
1762528892.8623848,0.29872,0.08525,0.45,-0.78855,-0.41602,-0.52381,171,81,29,119,27,284,122,21,72,191,83,41,40,185,55,35
1762528898.8002894,2.46247,0.07989,0.70522,-0.53808,0.53409,0.68508,236,55,10,140,50,224,89,44,152,52,30,118,174,43,14,131
1762528904.8268337,1.42589,0.08692,0.36842,-0.18538,-0.04188,0.91398,199,107,31,100,101,166,61,55,84,139,60,99,221,9,7,135
1762528910.7495074,2.06978,0.08525,0.50351,-0.72932,0.47761,0.35933,203,80,26,118,37,242,103,17,177,78,27,120,137,91,24,107
1762528916.8233058,2.33353,0.07904,0.54394,-0.74677,0.78261,0.2602,208,75,21,117,29,231,107,20,212,26,14,116,146,94,51,101
1762528922.8489554,1.60226,0.08452,0.04691,-0.58537,0.94751,0.02247,147,139,54,65,55,242,83,30,247,5,5,124,96,134,40,86
1762528928.8425357,2.36015,0.07499,0.287,-0.87755,0.8871,0.30851,193,103,56,94,11,252,116,13,215,10,11,136,147,102,28,99
1762528934.9102,1.50486,0.08802,0.29915,-0.06522,0.90634,0.23416,192,116,48,112,114,135,61,58,215,11,6,131,145,97,42,79
