timestamp,S_value,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA
1762250293.6090236,2.13398,-0.45339,0.28959,0.53456,0.85644,58,151,192,71,142,56,101,143,162,43,58,171,193,23,6,182
1762250297.4690912,2.22765,0.68533,-0.33512,0.3719,0.83529,170,21,38,146,78,116,133,46,131,49,65,118,145,19,9,167
1762250301.3572154,1.82537,-0.22252,0.57672,-0.34911,0.67702,70,108,120,75,138,27,53,160,68,99,129,42,120,19,33,150
1762250305.217813,1.3807,-0.55679,-0.21614,0.55682,0.05096,37,121,160,43,58,94,117,78,128,29,49,146,93,80,69,72
1762250309.0941713,2.38948,-0.44893,0.64507,0.88923,0.40625,57,135,170,59,124,19,44,168,153,8,10,154,124,54,41,101
1762250312.9695044,1.04958,0.10256,-0.53988,-0.10086,0.30627,115,70,105,100,40,96,155,35,86,94,97,70,84,39,55,93
1762250316.8826542,1.31957,-0.63084,-0.00578,0.07918,0.60377,34,166,183,45,79,60,114,93,85,71,86,99,122,42,21,133
1762250320.7277231,1.84498,0.44529,0.37538,-0.14815,0.87616,129,40,69,155,98,47,57,131,73,102,84,65,133,16,4,170
1762250324.6534076,1.54589,-0.13747,0.72917,0.29557,0.38369,74,95,116,86,136,16,36,196,140,64,79,123,111,61,41,118
1762250328.5782201,2.26047,0.3944,0.83024,0.74432,-0.29151,126,45,74,148,141,19,13,204,163,24,21,144,48,92,83,48
1762250332.4549544,1.90924,0.44357,0.687,-0.49711,0.28155,123,36,70,152,122,31,28,196,53,127,132,34,94,70,41,104
1762250336.3891265,2.09515,0.15464,0.86018,-0.90423,0.1761,103,62,102,121,135,8,15,171,9,168,170,8,74,85,46,113
1762250340.2270746,1.55621,0.33724,0.08257,-0.58656,0.54984,113,40,73,115,93,52,98,84,41,159,148,39,115,25,45,126
1762250344.1930134,1.70361,0.34605,0.11538,-0.38547,0.8567,116,57,63,131,95,60,101,108,61,120,128,49,131,8,15,167
1762250348.453505,1.65851,0.11392,0.65087,0.23762,0.65608,108,79,96,112,148,21,49,183,134,70,84,116,140,42,23,173
1762250352.4217343,1.68958,0.18878,0.57843,-0.15966,0.76271,121,56,103,112,141,41,45,181,80,111,96,70,143,27,15,169
1762250356.3358214,1.88231,0.00279,0.87812,0.71839,0.28302,93,67,112,87,163,3,19,176,132,22,27,167,91,76,38,113
1762250360.2547252,1.6598,-0.06506,0.27461,0.58879,0.73134,110,87,134,84,118,58,82,128,134,27,39,121,146,31,14,144
1762250364.1685078,2.31439,-0.41144,0.4677,0.66279,0.77246,47,113,146,61,136,43,60,148,166,26,32,120,145,29,9,151
1762250368.0705502,1.98967,-0.49751,0.71264,0.12069,0.65882,47,135,166,54,129,11,39,169,100,73,80,95,135,34,24,147
1762250371.9915109,1.67979,-0.10345,0.85224,0.21579,0.50831,75,100,124,107,154,7,21,197,127,82,67,104,123,47,27,104
1762250375.8910694,1.82289,-0.08511,0.60563,0.34454,0.78761,77,80,124,95,118,19,51,167,137,66,51,103,148,25,11,155
1762250379.8007252,2.23653,-0.56835,0.59788,0.18935,0.88095,47,145,182,43,118,21,55,184,111,59,78,90,145,14,6,171
1762250383.718278,2.0146,-0.38725,0.4626,0.35955,0.80519,63,119,164,62,135,22,75,129,131,54,60,111,138,23,7,140
1762250387.6400723,2.36,-0.72906,0.61186,0.50658,0.5125,33,163,188,22,114,27,45,185,117,43,32,112,122,51,27,120
1762250391.5612388,2.57082,-0.58919,0.74359,0.67976,0.55828,40,125,169,36,128,12,33,178,150,20,33,128,123,49,23,131
1762250478.1846864,1.79901,-0.27004,-0.55556,0.86667,-0.10674,83,163,138,90,46,156,173,48,174,19,10,232,57,98,99,102
1762250482.0073795,1.9363,-0.23464,-0.41433,0.84024,-0.4471,52,127,94,85,38,116,111,56,135,19,8,176,33,125,87,48
1762250485.8662376,1.80901,0.09565,-0.53754,0.52717,0.64865,85,93,63,104,32,114,142,45,113,45,42,168,98,29,23,146
1762250489.7367823,1.40042,-0.59889,-0.27097,-0.02687,-0.5037,28,168,119,44,51,100,97,62,70,99,73,93,28,97,106,39
1762250493.5885518,1.53749,0.37126,-0.25067,0.5727,-0.34286,104,62,43,125,57,105,127,82,118,48,24,147,27,95,93,65
1762250497.5234404,2.10889,0.36599,-0.5,0.76758,0.47531,122,73,37,115,43,125,139,45,117,8,30,172,99,39,46,140
1762250501.4341278,1.79978,-0.42857,-0.61047,0.27108,-0.48966,60,141,124,46,39,135,142,28,78,54,67,133,26,116,100,48
1762250505.5447714,1.31066,0.28638,-0.61078,0.19663,-0.21687,128,87,65,146,28,139,130,37,87,68,75,126,41,106,96,89
1762250509.4571724,1.23361,-0.40157,0.03099,0.52105,-0.28,50,152,115,64,83,81,91,100,116,45,46,173,44,94,98,64
1762250513.3151984,1.5056,-0.34555,-0.01724,0.84831,0.2945,54,144,113,71,78,72,105,93,144,13,14,185,84,53,56,116
1762250517.2038925,1.32153,-0.18782,-0.42508,0.14525,-0.56338,82,130,104,78,55,112,121,39,80,63,90,125,19,113,109,43
1762250521.1575222,2.08549,-0.33661,-0.65138,0.53107,-0.56643,66,142,130,69,38,118,152,19,110,30,53,161,20,120,104,42
1762250525.0767698,1.60981,-0.54331,-0.78621,-0.26844,-0.01186,37,160,134,50,22,109,150,9,43,112,103,81,52,56,72,73
1762250529.093107,1.63836,-0.45269,-0.27327,0.14062,0.77177,50,155,129,57,48,103,109,73,82,86,79,137,134,19,19,161
1762250532.9878995,1.20704,0.69146,-0.08929,-0.14985,-0.27645,152,25,31,155,70,80,103,83,53,89,99,86,41,99,88,65
1762250536.9299169,1.63901,0.04455,-0.58739,0.79937,-0.20769,93,113,80,118,26,129,148,46,111,16,16,176,42,88,69,61
1762250540.8774602,1.92609,-0.81818,-0.16107,0.20102,-0.74582,16,189,181,21,56,86,87,69,85,93,64,151,14,143,118,24
1762250544.8429902,1.63333,-0.78974,-0.22619,0.36158,0.25581,20,201,148,21,67,102,104,63,105,62,51,136,74,55,57,115
1762250548.8515432,2.03646,-0.46269,-0.64458,0.59777,0.33143,47,178,116,61,23,135,138,36,121,36,36,165,89,55,62,144
1762250552.794196,1.64961,-0.1123,-0.54354,0.58127,-0.4125,84,129,79,82,37,116,141,39,130,38,38,157,30,138,88,64
1762250556.7666514,2.01902,-0.28608,-0.65698,0.70435,-0.37162,67,137,117,74,30,123,162,29,134,27,24,160,28,106,97,65
1762250560.7029772,1.71385,0.14127,-0.78882,0.62791,-0.15584,83,96,59,123,20,147,141,14,127,30,42,188,49,93,85,81
1762250564.6165497,2.41936,-0.39691,-0.90033,0.79532,-0.3268,53,150,121,64,10,123,163,5,122,19,16,185,35,110,93,68
1762250568.6389048,1.92715,-0.32454,-0.875,0.64481,-0.0828,54,142,109,74,11,139,161,9,140,30,35,161,66,87,83,78
1762250572.5408752,1.93899,-0.54922,-0.73115,0.28912,0.36949,40,165,134,47,28,128,136,13,107,72,62,136,91,62,31,111
1762250576.4301617,1.51606,0.24157,-0.33754,0.61877,-0.31818,109,84,51,112,46,108,104,59,128,40,25,148,35,91,83,55
1762250580.3847148,2.38617,-0.6063,-0.59748,0.7193,-0.46309,32,168,138,43,29,137,117,35,123,28,20,171,25,120,98,55
1762250584.338706,1.81618,-0.21827,-0.44681,0.58261,-0.56849,93,136,104,61,51,113,125,40,121,30,42,152,19,120,109,44
1762250588.2616184,1.93851,-0.2359,-0.82682,0.76104,-0.11475,68,154,87,81,15,149,178,16,154,18,28,185,51,96,74,84
1762250592.1946807,1.73485,-0.1269,-0.68732,0.91736,0.00328,70,112,110,102,24,143,143,29,156,5,10,192,55,86,66,98
1762250596.1260831,1.90532,-0.2967,-0.571,0.85795,-0.17966,59,132,104,69,34,127,133,37,144,15,10,183,51,98,76,70
1762250600.0274258,2.46179,-0.55906,-0.72671,0.78771,-0.38832,38,178,119,46,29,118,160,15,143,32,6,177,37,114,88,52
1762250603.9115534,1.96299,-0.08293,-0.9185,0.91908,0.04249,78,123,99,110,8,137,169,5,162,6,8,170,76,95,74,108
1762250607.8072534,2.3318,-0.40761,-0.76,0.904,-0.26019,51,147,112,58,29,126,160,10,153,6,12,204,43,109,92,75
1762250611.7843714,2.47696,-0.51532,-0.89666,0.83632,-0.22867,37,152,120,50,7,154,158,10,159,18,14,200,48,97,83,65
1762250615.665421,2.35747,-0.43266,-0.78289,0.86413,-0.27778,40,149,101,59,21,135,136,12,156,17,8,187,26,88,73,65
1762250619.5888956,2.25748,-0.57701,-0.64742,0.7268,-0.30625,44,191,152,48,38,128,143,20,133,33,20,202,38,126,83,73
1762250623.5343394,2.38321,-0.46023,-0.87246,0.8992,-0.15132,45,158,99,50,16,143,180,6,173,15,4,185,58,94,81,71
1762250627.4170408,2.49033,-0.59894,-0.64596,0.80838,-0.43704,24,163,140,52,31,129,136,26,133,19,13,169,24,111,83,52
1762250631.3541691,2.48079,-0.76768,-0.47771,0.49689,-0.73852,18,177,173,28,47,96,136,35,94,45,36,147,10,130,116,27
1762250635.2854831,2.29963,-0.55897,-0.80667,0.67723,-0.25676,29,146,158,57,19,123,148,10,116,30,26,175,41,102,84,69
1762250639.2079647,2.51037,-0.57143,-0.81493,0.73669,-0.38732,34,152,156,50,22,144,160,9,145,30,17,165,20,103,94,67
1762250645.0408554,2.57418,-0.52305,-0.81188,0.83144,-0.40782,41,208,172,78,26,159,207,12,175,20,17,227,42,122,130,64
1762250648.2097673,2.46863,-0.50641,-0.77674,0.79125,-0.39423,33,120,115,44,16,80,111,8,120,14,17,146,22,72,73,41
1762250651.3771615,2.58599,-0.48624,-0.86992,0.82,-0.40984,40,147,96,44,12,104,126,4,102,15,12,171,24,86,86,48
1762250654.546289,2.56807,-0.63448,-0.81343,0.73818,-0.38197,20,142,95,33,16,118,125,9,119,20,16,120,19,81,80,53
1762250657.7131228,2.67781,-0.5969,-0.82222,0.79851,-0.46018,23,101,105,29,18,110,136,6,112,13,14,129,22,84,81,39
