timestamp,S_value,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA,total_coinc
1762168700.885984,2.03237,0.25795,0.7541,-0.91506,0.10526,75,60,45,103,96,13,17,118,0,128,120,11,67,66,36,59,"dict_values([75, 60, 45, 103, 96, 13, 17, 118, 0, 128, 120, 11, 67, 66, 36, 59])"
1762168703.7277708,2.06157,0.21429,0.77947,-0.9084,0.15942,81,54,67,106,108,13,16,126,4,125,125,8,59,65,22,61,"dict_values([81, 54, 67, 106, 108, 13, 16, 126, 4, 125, 125, 8, 59, 65, 22, 61])"
1762168706.51256,2.16377,0.3254,0.70037,-0.9761,0.1619,58,46,39,109,100,13,27,127,0,127,121,3,63,71,17,59,"dict_values([58, 46, 39, 109, 100, 13, 27, 127, 0, 127, 121, 3, 63, 71, 17, 59])"
1762168709.3800478,2.05952,0.25694,0.68254,-0.8481,0.27193,75,56,51,106,101,20,20,111,5,109,110,13,75,63,20,70,"dict_values([75, 56, 51, 106, 101, 20, 20, 111, 5, 109, 110, 13, 75, 63, 20, 70])"
1762168712.1675277,2.01044,0.17073,0.73793,-0.92531,0.17647,70,68,51,98,109,10,28,143,2,128,104,7,61,66,25,69,"dict_values([70, 68, 51, 98, 109, 10, 28, 143, 2, 128, 104, 7, 61, 66, 25, 69])"
1762168714.951729,2.04609,0.26667,0.73519,-0.86992,0.17431,70,55,55,120,96,15,23,153,3,113,117,13,59,65,25,69,"dict_values([70, 55, 55, 120, 96, 15, 23, 153, 3, 113, 117, 13, 59, 65, 25, 69])"
1762168717.78513,2.28531,0.36913,0.72438,-0.91561,0.27619,73,49,45,131,94,16,23,150,5,96,131,5,62,56,20,72,"dict_values([73, 49, 45, 131, 94, 16, 23, 150, 5, 96, 131, 5, 62, 56, 20, 72])"
1762168720.6152318,2.28004,0.25806,0.76429,-0.89804,0.35965,76,60,55,119,114,15,18,133,1,135,107,12,82,56,17,73,"dict_values([76, 60, 55, 119, 114, 15, 18, 133, 1, 135, 107, 12, 82, 56, 17, 73])"
1762168723.4767947,2.32981,0.37762,0.74713,-0.93156,0.2735,71,45,44,126,93,19,14,135,3,127,127,6,82,60,25,67,"dict_values([71, 45, 44, 126, 93, 19, 14, 135, 3, 127, 127, 6, 82, 60, 25, 67])"
1762168726.3544807,2.18805,0.37079,0.68421,-0.91034,0.22271,79,58,26,104,121,10,32,103,4,135,142,9,53,63,26,87,"dict_values([79, 58, 26, 104, 121, 10, 32, 103, 4, 135, 142, 9, 53, 63, 26, 87])"
1762168729.2232661,2.25134,0.38762,0.70548,-0.89683,0.26141,69,58,36,144,112,19,24,137,3,119,120,10,65,65,24,87,"dict_values([69, 58, 36, 144, 112, 19, 24, 137, 3, 119, 120, 10, 65, 65, 24, 87])"
1762168732.0722158,2.28349,0.36129,0.832,-0.89189,0.19831,82,48,51,129,108,10,11,121,4,140,105,10,64,75,20,78,"dict_values([82, 48, 51, 129, 108, 10, 11, 121, 4, 140, 105, 10, 64, 75, 20, 78])"
1762168734.8949828,2.08176,0.17406,0.72549,-0.9322,0.25,69,70,51,103,102,9,26,118,3,134,94,5,85,64,29,70,"dict_values([69, 70, 51, 103, 102, 9, 26, 118, 3, 134, 94, 5, 85, 64, 29, 70])"
1762168737.7703233,2.26319,0.2899,0.78832,-0.93893,0.24603,87,63,46,111,104,11,18,141,4,138,116,4,89,61,34,68,"dict_values([87, 63, 46, 111, 104, 11, 18, 141, 4, 138, 116, 4, 89, 61, 34, 68])"
1762168740.5674684,2.10744,0.30627,0.63158,-0.90805,0.26154,81,41,53,96,98,18,31,119,7,133,116,5,61,48,24,62,"dict_values([81, 41, 53, 96, 98, 18, 31, 119, 7, 133, 116, 5, 61, 48, 24, 62])"
1762168743.423936,2.05574,0.26619,0.70455,-0.90361,0.1814,71,56,46,105,94,14,25,131,1,119,118,11,63,58,30,64,"dict_values([71, 56, 46, 105, 94, 14, 25, 131, 1, 119, 118, 11, 63, 58, 30, 64])"
1762168746.237223,2.02758,0.12879,0.64493,-0.93728,0.31658,51,61,54,98,121,22,27,106,4,141,137,5,63,45,23,68,"dict_values([51, 61, 54, 98, 121, 22, 27, 106, 4, 141, 137, 5, 63, 45, 23, 68])"
1762168749.1022947,2.29293,0.31429,0.77695,-0.91078,0.29091,59,47,49,125,122,11,19,117,5,124,133,7,59,54,24,83,"dict_values([59, 47, 49, 125, 122, 11, 19, 117, 5, 124, 133, 7, 59, 54, 24, 83])"
1762168751.9411457,2.18681,0.30612,0.73384,-0.92218,0.22467,88,49,53,104,102,13,22,126,4,116,131,6,65,63,25,74,"dict_values([88, 49, 53, 104, 102, 13, 22, 126, 4, 116, 131, 6, 65, 63, 25, 74])"
1762168754.7908378,2.3902,0.38351,0.78295,-0.91781,0.30594,87,35,51,106,92,12,16,138,2,148,132,10,71,48,28,72,"dict_values([87, 35, 51, 106, 92, 12, 16, 138, 2, 148, 132, 10, 71, 48, 28, 72])"
1762168757.613542,2.16102,0.22059,0.75781,-0.91339,0.26923,65,51,55,101,103,16,15,122,3,125,118,8,59,51,25,73,"dict_values([65, 51, 55, 101, 103, 16, 15, 122, 3, 125, 118, 8, 59, 51, 25, 73])"
1762168760.3953896,2.21928,0.3355,0.72143,-0.89474,0.26761,81,56,46,124,94,11,28,147,6,121,95,6,60,54,24,75,"dict_values([81, 56, 46, 124, 94, 11, 28, 147, 6, 121, 95, 6, 60, 54, 24, 75])"
1762168763.1907802,2.1026,0.24832,0.6955,-0.86175,0.29703,70,57,55,116,119,19,25,126,5,101,101,10,63,43,28,68,"dict_values([70, 57, 55, 116, 119, 19, 25, 126, 5, 101, 101, 10, 63, 43, 28, 68])"
1762168766.028974,2.11718,0.24252,0.71984,-0.89394,0.26087,75,60,54,112,105,14,22,116,4,143,107,10,69,58,27,76,"dict_values([75, 60, 54, 112, 105, 14, 22, 116, 4, 143, 107, 10, 69, 58, 27, 76])"
1762168768.8179922,2.19334,0.2971,0.84151,-0.89256,0.16216,74,46,51,105,101,10,11,143,5,116,113,8,65,64,29,64,"dict_values([74, 46, 51, 105, 101, 10, 11, 143, 5, 116, 113, 8, 65, 64, 29, 64])"
1762168771.6573813,2.12046,0.27564,0.7,-0.89831,0.24651,78,59,54,121,123,17,28,132,6,120,104,6,67,64,17,67,"dict_values([78, 59, 54, 121, 123, 17, 28, 132, 6, 120, 104, 6, 67, 64, 17, 67])"
1762168774.4417255,2.04972,0.2901,0.7594,-0.88285,0.11737,85,63,41,104,98,11,21,136,5,131,94,9,61,74,20,58,"dict_values([85, 63, 41, 104, 98, 11, 21, 136, 5, 131, 94, 9, 61, 74, 20, 58])"
1762168777.2316487,2.14512,0.22977,0.72857,-0.95294,0.23383,66,67,52,124,106,15,23,136,2,130,119,4,59,57,20,65,"dict_values([66, 67, 52, 124, 106, 15, 23, 136, 2, 130, 119, 4, 59, 57, 20, 65])"
1762168780.095789,2.09049,0.24183,0.71218,-0.92832,0.20816,70,62,54,120,101,17,22,131,1,148,121,9,66,73,24,82,"dict_values([70, 62, 54, 120, 101, 17, 22, 131, 1, 148, 121, 9, 66, 73, 24, 82])"
1762168782.8834302,2.25575,0.33788,0.78598,-0.92996,0.20192,79,51,46,117,115,17,12,127,3,120,128,6,54,56,27,71,"dict_values([79, 51, 46, 117, 115, 17, 12, 127, 3, 120, 128, 6, 54, 56, 27, 71])"
1762168785.7092776,2.24356,0.32237,0.74517,-0.91379,0.26222,90,61,42,111,102,16,17,124,5,111,111,5,67,60,23,75,"dict_values([90, 61, 42, 111, 102, 16, 17, 124, 5, 111, 111, 5, 67, 60, 23, 75])"
1762168788.5567331,2.18942,0.32609,0.67692,-0.9207,0.2657,71,62,31,112,102,11,31,116,3,107,111,6,67,57,19,64,"dict_values([71, 62, 31, 112, 102, 11, 31, 116, 3, 107, 111, 6, 67, 57, 19, 64])"
1762168791.4070797,2.08174,0.15646,0.71318,-0.9386,0.2735,66,70,54,104,91,15,22,130,2,112,109,5,76,59,26,73,"dict_values([66, 70, 54, 104, 91, 15, 22, 130, 2, 112, 109, 5, 76, 59, 26, 73])"
1762168794.2337663,2.41841,0.40625,0.73818,-0.94355,0.33043,81,47,48,144,114,19,17,125,2,122,119,5,81,53,24,72,"dict_values([81, 47, 48, 144, 114, 19, 17, 125, 2, 122, 119, 5, 81, 53, 24, 72])"
1762168797.1292613,2.31417,0.28058,0.79288,-0.92565,0.31507,63,55,45,115,114,10,22,163,2,146,113,8,79,41,34,65,"dict_values([63, 55, 45, 115, 114, 10, 22, 163, 2, 146, 113, 8, 79, 41, 34, 65])"
1762168799.9481525,2.34159,0.26897,0.81395,-0.90984,0.34884,76,51,55,108,111,7,17,123,5,124,109,6,69,47,23,76,"dict_values([76, 51, 55, 108, 111, 7, 17, 123, 5, 124, 109, 6, 69, 47, 23, 76])"
1762168802.7577522,1.98235,0.24904,0.68231,-0.87983,0.17117,66,56,42,97,100,17,27,133,4,112,107,10,60,71,21,70,"dict_values([66, 56, 42, 97, 100, 17, 27, 133, 4, 112, 107, 10, 60, 71, 21, 70])"
1762168805.5635607,2.03872,0.21864,0.73585,-0.89212,0.19212,64,59,50,106,102,15,20,128,3,116,112,10,55,53,29,66,"dict_values([64, 59, 50, 106, 102, 15, 20, 128, 3, 116, 112, 10, 55, 53, 29, 66])"
1762168808.4242508,2.20065,0.28826,0.75875,-0.92157,0.23207,72,59,41,109,96,13,18,130,4,134,111,6,78,62,29,68,"dict_values([72, 59, 41, 109, 96, 13, 18, 130, 4, 134, 111, 6, 78, 62, 29, 68])"
