timestamp,S_value,S_err,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA
1762550526.9772015,2.11019,0.07109,0.99,-0.08789,0.08095,0.95135,261,0,2,137,123,164,65,69,139,118,75,88,202,6,3,159
1762550540.106897,2.12861,0.07102,0.98588,-0.04412,0.12077,0.97784,276,1,2,146,124,156,57,71,147,109,73,85,213,4,0,144
1762550546.138004,2.61602,0.07602,0.83072,-0.67308,0.68675,0.42547,200,2,25,92,43,252,96,25,223,38,27,127,154,74,32,109
1762550557.036378,2.85,0.07135,0.82334,-0.71642,0.73869,0.59786,200,3,25,89,33,254,91,24,227,33,19,119,168,58,17,130
1762550567.3020718,2.85,0.0688,0.83158,-0.7519,0.73404,0.62402,222,4,28,126,36,252,94,13,203,27,23,123,188,57,15,123
1762550577.5764213,2.85,0.06667,0.85523,-0.80253,0.68533,0.64649,230,3,24,116,30,252,104,9,202,34,25,114,189,55,18,151
1762550587.9099832,2.85,0.07054,0.79939,-0.79343,0.74528,0.56,189,3,30,107,33,283,99,11,240,34,20,130,155,56,21,118
1762550598.2330484,2.85,0.06984,0.90184,-0.72127,0.67655,0.59585,195,1,15,115,35,268,84,22,211,28,32,100,176,56,22,132
1762550608.503741,2.85,0.07103,0.79937,-0.78431,0.77494,0.50392,180,2,30,107,23,253,111,21,212,27,17,135,173,73,22,115
1762550618.8053071,2.81946,0.07217,0.7957,-0.70619,0.74425,0.57333,229,4,34,105,37,236,95,20,204,28,22,137,165,63,17,130
1762550629.0981858,2.85,0.0705,0.86631,-0.73743,0.73438,0.59659,227,4,21,122,28,238,73,19,214,27,24,119,171,54,17,110
1762550639.3553421,2.85,0.06927,0.86667,-0.75802,0.7402,0.56983,184,1,21,124,23,261,95,26,228,26,27,127,179,60,17,102
