timestamp,S_value,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA,total_coinc
1762168507.317999,1.74859,0.97458,-0.00457,-0.09589,0.86534,215,1,5,251,94,104,116,124,85,126,114,113,158,14,13,216,"dict_values([215, 1, 5, 251, 94, 104, 116, 124, 85, 126, 114, 113, 158, 14, 13, 216])"
1762168510.1585965,1.20241,0.90033,0.37255,-0.14498,0.81961,134,4,11,152,75,51,29,100,37,77,77,78,97,11,12,135,"dict_values([134, 4, 11, 152, 75, 51, 29, 100, 37, 77, 77, 78, 97, 11, 12, 135])"
1762168513.0195959,1.11459,0.85098,0.47718,-0.10072,0.84151,107,3,16,129,82,36,27,96,38,90,63,87,101,11,10,143,"dict_values([107, 3, 16, 129, 82, 36, 27, 96, 38, 90, 63, 87, 101, 11, 10, 143])"
1762168515.8788695,1.05444,0.84064,0.39437,-0.18919,0.79736,103,2,18,128,81,48,38,117,37,80,96,83,93,13,10,111,"dict_values([103, 2, 18, 128, 81, 48, 38, 117, 37, 80, 96, 83, 93, 13, 10, 111])"
1762168518.7527735,0.972,0.80392,0.51799,-0.16078,0.84685,87,1,24,143,84,39,28,127,40,69,79,67,80,10,7,125,"dict_values([87, 1, 24, 143, 84, 39, 28, 127, 40, 69, 79, 67, 80, 10, 7, 125])"
1762168521.6138868,1.02035,0.86081,0.48387,-0.16535,0.80876,101,2,17,153,82,46,26,125,43,79,69,63,102,7,17,125,"dict_values([101, 2, 17, 153, 82, 46, 26, 125, 43, 79, 69, 63, 102, 7, 17, 125])"
1762168524.4873927,1.10978,0.84553,0.46032,-0.13889,0.86345,100,2,17,127,80,42,26,104,43,71,93,81,95,6,11,137,"dict_values([100, 2, 17, 127, 80, 42, 26, 104, 43, 71, 93, 81, 95, 6, 11, 137])"
1762168527.370111,1.15791,0.89121,0.40351,-0.14176,0.81197,90,1,12,136,86,51,34,114,44,85,64,68,91,16,6,121,"dict_values([90, 1, 12, 136, 86, 51, 34, 114, 44, 85, 64, 68, 91, 16, 6, 121])"
1762168530.2213812,1.20887,0.8315,0.35793,-0.06383,0.79913,111,0,23,139,76,54,33,108,35,64,61,75,90,12,11,116,"dict_values([111, 0, 23, 139, 76, 54, 33, 108, 35, 64, 61, 75, 90, 12, 11, 116])"
1762168533.1155229,1.59591,0.85657,0.34091,0.16968,0.91057,94,0,18,139,56,53,34,121,65,51,64,97,107,5,6,128,"dict_values([94, 0, 18, 139, 56, 53, 34, 121, 65, 51, 64, 97, 107, 5, 6, 128])"
1762168535.9984179,1.13701,0.86561,0.42857,-0.12403,0.824,117,0,17,119,93,43,35,102,44,82,63,69,99,10,12,129,"dict_values([117, 0, 17, 119, 93, 43, 35, 102, 44, 82, 63, 69, 99, 10, 12, 129])"
1762168538.8748994,1.0696,0.85113,0.48754,-0.10044,0.80645,121,2,21,165,82,39,33,127,35,68,58,68,96,13,11,128,"dict_values([121, 2, 21, 165, 82, 39, 33, 127, 35, 68, 58, 68, 96, 13, 11, 128])"
