timestamp,S_value,S_err,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA
1762521210.6800952,2.24117,0.08793,0.77249,-0.51585,0.49718,0.45566,206,29,14,129,52,186,77,32,162,64,25,103,140,62,27,98
1762521227.5842335,0.0,0.08392,-0.78836,-0.5067,-0.41317,0.69277,23,242,96,17,61,179,102,31,52,166,70,46,149,30,21,132
1762521233.5816936,0.0,0.0936,-0.31759,0.4,-0.67816,0.4586,86,170,81,44,153,79,29,99,29,206,86,27,133,52,33,96
1762521239.5097058,0.08216,0.09469,-0.72703,-0.32571,0.48348,0.0,28,215,114,24,70,169,63,48,154,47,39,93,100,106,68,74
1762521245.489827,0.21091,0.08518,-0.38109,-0.83333,-0.63117,0.38983,76,172,69,32,19,229,101,11,47,224,90,24,156,75,33,90
1762521251.5143285,0.31204,0.09214,-0.35342,-0.21321,-0.4023,0.85455,65,167,80,53,75,133,69,56,58,150,94,46,198,20,4,108
1762521257.4676669,0.0,0.08812,-0.22911,-0.59172,-0.92258,0.16763,105,151,77,38,37,193,76,32,4,203,95,8,107,99,45,95
1762521263.379844,1.21209,0.09491,-0.27019,-0.20359,0.52201,0.75668,85,153,75,46,87,141,60,46,140,58,18,102,177,29,12,119
1762521269.3728845,0.25381,0.09249,0.17277,-0.46237,-0.75159,0.37026,146,103,55,78,66,189,83,34,29,179,96,10,135,65,43,100
1762521275.3081875,0.0,0.09185,-0.90055,-0.05357,-0.33535,-0.45299,13,239,105,5,102,123,54,57,60,161,60,50,54,167,88,42
1762521281.294442,0.0,0.09398,-0.88776,-0.1261,-0.35652,0.33766,17,245,125,5,103,119,73,46,52,160,74,59,125,67,35,81
1762521287.2486331,0.0,0.08972,-0.01679,0.53982,-0.80114,0.43125,115,136,76,90,158,48,30,103,14,221,96,21,144,62,29,85
1762521293.3055594,0.0,0.0885,-0.40526,-0.09284,-0.66467,0.76358,71,191,76,42,96,152,54,75,26,192,86,30,162,30,7,114
1762521299.3443146,0.0,0.09422,-0.64306,-0.56568,-0.3487,-0.23636,35,197,93,28,59,198,94,22,58,172,62,55,81,131,73,45
1762521305.425111,0.0,0.0901,-0.62674,-0.72678,-0.52229,0.27829,36,187,105,31,33,214,102,17,34,173,66,41,121,75,43,88
1762521311.424698,0.0,0.09464,-0.96364,-0.2071,0.18519,0.01183,1,254,124,6,91,122,82,43,111,88,44,81,104,99,68,67
1762521317.4957771,0.0,0.08139,-0.56416,-0.66755,-0.73089,0.55422,59,210,113,31,33,218,98,30,21,205,78,23,143,48,26,115
1762521323.5713365,0.0,0.09258,-0.88776,0.09565,-0.37604,0.35016,17,235,135,5,117,111,45,72,60,175,72,52,132,63,40,82
1762521329.6067398,0.12678,0.08237,-0.63731,-0.51009,-0.56308,0.81707,41,218,98,29,48,183,79,37,37,171,83,34,165,21,9,133
1762521335.6085029,0.0,0.08152,-0.86595,-0.35556,-0.46061,0.8,16,242,106,9,69,160,84,47,39,172,69,50,164,22,9,115
1762521341.599633,0.16418,0.0839,-0.68448,-0.74684,-0.44847,0.5503,36,216,115,26,23,198,78,17,54,183,77,45,158,47,29,104
1762521347.6377926,0.0,0.08867,-0.96267,-0.30659,-0.12069,0.46023,5,250,118,2,70,143,85,51,84,128,67,69,157,51,44,100
1762521353.6049974,0.0,0.07773,-0.67609,-0.67493,-0.70701,0.68116,41,216,110,22,27,202,102,32,27,176,92,19,175,36,19,115
1762521359.5358577,0.0,0.08535,-0.87778,-0.44,-0.29878,0.69079,11,224,114,11,64,176,94,41,64,149,64,51,154,21,26,103
1762521365.517141,0.11981,0.07966,-0.75623,-0.63218,-0.52436,0.76821,28,221,96,16,43,199,85,21,47,173,93,36,161,24,11,106
1762521371.5043917,0.24863,0.08494,-0.67493,-0.47727,-0.35429,0.80057,31,196,108,28,58,173,87,34,59,162,75,54,182,22,13,134
1762521377.5221045,0.0,0.09406,-0.58713,-0.79429,-0.27103,0.04101,46,204,92,31,19,221,93,17,74,134,70,43,105,115,37,60
1762521383.5326638,0.18174,0.0922,-0.78862,-0.44935,-0.02532,0.54633,22,229,101,17,71,196,83,35,92,95,67,62,125,40,31,117
1762521389.5545874,0.0,0.07957,-0.84375,-0.56032,-0.52187,0.6904,21,240,114,9,55,188,103,27,42,192,69,40,151,32,18,122
1762521395.540024,0.0,0.07883,-0.75789,-0.60231,-0.60674,0.725,33,224,110,13,41,199,79,28,39,188,98,31,158,29,15,118
1762521401.5002751,0.9395,0.09144,-0.36043,-0.41758,0.0,0.88235,74,172,79,44,66,171,87,40,91,124,42,75,190,13,5,98
1762521407.4257946,0.0,0.08355,-0.84367,-0.4755,-0.39024,0.75817,18,234,108,11,63,174,82,28,55,164,64,45,166,21,16,103
1762521413.3920064,0.71972,0.09479,-0.44134,-0.36901,0.00633,0.78571,58,186,72,42,65,166,77,47,95,110,47,64,172,25,11,128
1762521419.3509295,0.43689,0.08661,-0.33908,-0.7205,-0.6231,0.67857,77,171,62,38,26,188,89,19,33,192,75,29,160,40,14,122
1762521425.2985668,0.76417,0.08895,-0.61383,-0.2815,0.38919,0.70732,28,209,71,39,84,160,79,50,140,86,27,117,185,35,19,130
1762521431.263473,0.65538,0.0915,-0.59452,-0.55616,0.03768,0.65605,47,205,86,27,43,193,91,38,106,121,45,73,148,33,21,112
1762521437.2191143,0.94317,0.08717,-0.46381,-0.5291,0.01685,0.86103,61,193,80,39,52,176,113,37,104,124,51,77,199,17,6,109
1762521443.1877067,0.7383,0.08874,-0.61637,-0.50442,0.02167,0.82857,44,219,97,31,56,173,82,28,95,114,44,70,176,21,6,112
1762521449.1719875,1.65804,0.09179,0.16575,-0.29863,0.34615,0.84751,128,114,37,83,82,165,72,46,149,86,33,96,196,19,7,119
1762521455.1632617,2.39849,0.08536,0.80845,-0.36,0.39103,0.83901,213,27,7,108,66,154,67,38,132,65,30,85,194,19,7,103
1762521461.2016284,2.34589,0.08474,0.46006,-0.46702,0.72093,0.69789,169,76,22,96,64,204,74,37,172,27,21,124,173,40,10,108
1762521467.1565595,1.92182,0.0891,0.325,-0.26346,0.52355,0.80982,158,96,39,107,82,154,69,48,176,66,20,99,173,20,11,122
1762521473.127403,2.10903,0.0866,0.40217,-0.27224,0.6413,0.79331,160,74,36,98,78,159,77,57,187,44,22,115,187,19,15,108
1762521479.0629265,2.5653,0.08118,0.78571,-0.3956,0.62424,0.75974,213,28,11,112,61,173,81,49,171,39,23,97,179,22,15,92
1762521485.0223346,1.96762,0.09232,0.76781,-0.52707,0.16616,0.50658,195,24,20,140,51,183,85,32,114,94,44,79,134,49,26,95
1762521490.9608314,2.32568,0.08087,0.84236,-0.29891,0.30205,0.88235,238,21,11,136,75,165,74,54,137,85,34,85,187,9,10,117
1762521496.9525821,2.27529,0.08478,0.87013,-0.30749,0.5,0.59767,231,19,6,129,89,177,76,45,136,47,33,104,179,40,29,95
1762521502.9399707,1.67081,0.09298,0.6962,-0.57641,-0.08207,0.48026,200,33,27,135,45,192,102,34,88,121,57,63,138,45,34,87
1762521508.9301374,1.81196,0.09309,0.38889,-0.6568,0.07738,0.68889,154,68,42,96,35,179,101,23,104,101,54,77,166,31,18,100
1762521514.9888477,1.55276,0.09142,0.10986,-0.40571,0.12568,0.9115,124,115,43,73,58,169,77,46,119,113,47,87,185,9,6,139
1762521521.0494232,2.29937,0.08569,0.80337,-0.48189,0.3237,0.6904,183,21,14,138,64,179,87,29,143,72,45,86,171,33,17,102
1762521527.0808344,1.19732,0.09394,-0.20627,-0.22817,0.45352,0.72189,86,170,61,66,86,145,73,51,150,77,20,108,178,34,13,113
1762521533.0307207,2.29858,0.08297,0.82933,-0.48691,0.24079,0.74154,205,20,12,138,65,187,97,33,139,76,58,80,175,29,13,108
1762521539.047151,1.99235,0.0864,0.76842,-0.43548,0.0625,0.72595,219,21,23,117,68,178,89,37,122,105,60,65,186,32,15,110
1762521545.057549,2.33671,0.08229,0.90986,-0.40782,0.30312,0.71591,214,6,10,125,69,171,81,37,145,76,47,85,187,29,21,115
