timestamp,S_value,S_err,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA
1762505577.5187292,2.52683,0.08172,0.62466,0.46903,-0.7868,0.64634,169,40,30,134,108,50,40,141,24,244,108,18,169,45,13,101
1762505592.8126893,2.58444,0.08383,0.72189,0.54098,-0.69014,0.63142,166,25,22,125,117,39,31,118,23,202,98,32,162,53,8,108
1762505598.0646627,2.71505,0.08281,0.7027,0.59846,-0.74925,0.66463,197,30,25,118,104,28,24,103,15,217,76,27,169,47,8,104
1762505603.3253477,2.64661,0.08543,0.71704,0.55049,-0.67638,0.7027,154,22,22,113,123,47,22,115,17,192,67,33,164,39,5,88
1762505608.6310747,2.52449,0.08602,0.68681,0.62776,-0.67702,0.53289,181,29,28,126,127,40,19,131,18,203,67,34,123,58,13,110
1762505613.8881645,2.42139,0.08962,0.63061,0.54412,-0.67385,0.57282,182,38,32,127,118,34,28,92,22,186,86,31,151,53,13,92
