metric,temperature_variable,lag_minutes,n,pearson_r,p_value
visibility,T_Ljubljana,-60,34,-0.45672786877093335,0.006622145744466103
visibility,T_Ljubljana,-55,44,-0.4975205379221364,0.000590275788329626
visibility,T_Ljubljana,-50,55,-0.5114381615729982,6.593738463506371e-05
visibility,T_Ljubljana,-45,65,-0.4519153280976501,0.0001575090514918762
visibility,T_Ljubljana,-40,76,-0.3272090078240828,0.003912388041091584
visibility,T_Ljubljana,-35,86,-0.21537899635186467,0.04641990788709311
visibility,T_Ljubljana,-30,97,-0.12865485563304635,0.2091508655436566
visibility,T_Ljubljana,-25,107,-0.12517970380018137,0.19889015647567618
visibility,T_Ljubljana,-20,118,-0.16461935526493965,0.07485335918707768
visibility,T_Ljubljana,-15,129,-0.020838337075062677,0.8146746276800185
visibility,T_Ljubljana,-10,139,0.14749312065708392,0.08314811283838422
visibility,T_Ljubljana,-5,150,0.24312087015581246,0.002719236019511784
visibility,T_Ljubljana,0,150,0.1850105380086714,0.02341740086349385
visibility,T_Ljubljana,5,150,0.16191856814731498,0.047750423945196255
visibility,T_Drnovo,-60,34,-0.45672786877093335,0.006622145744466103
visibility,T_Drnovo,-55,44,-0.49752053792213635,0.000590275788329626
visibility,T_Drnovo,-50,55,-0.511438161572998,6.593738463506371e-05
visibility,T_Drnovo,-45,65,-0.45191532809765006,0.0001575090514918762
visibility,T_Drnovo,-40,76,-0.3272090078240828,0.003912388041091584
visibility,T_Drnovo,-35,86,-0.2153789963518647,0.04641990788709311
visibility,T_Drnovo,-30,97,-0.12865485563304632,0.2091508655436566
visibility,T_Drnovo,-25,107,-0.12517970380018137,0.19889015647567618
visibility,T_Drnovo,-20,118,-0.16461935526493965,0.07485335918707768
visibility,T_Drnovo,-15,129,0.2860057457111949,0.0010173034211023028
visibility,T_Drnovo,-10,139,0.5051686099023858,2.2675931988205782e-10
visibility,T_Drnovo,-5,150,0.5505757979152242,2.896654252135442e-13
visibility,T_Drnovo,0,150,0.529107354067081,3.3885007244211407e-12
visibility,T_Drnovo,5,150,0.4132664236832096,1.4722219432366038e-07
visibility,T_Drnovo,10,139,0.09567180395966687,0.26256878351042917
visibility,T_Drnovo,15,129,-0.15766583267516232,0.07434435315444608
visibility,T_Drnovo,20,118,-0.43762126016051095,7.217204593080549e-07
visibility,T_Drnovo,25,108,-0.43824399022891286,2.099710369022359e-06
visibility,T_Drnovo,30,97,-0.49194459051364325,3.0973517495985375e-07
visibility,T_Drnovo,35,87,-0.5846095007030407,2.76085454234038e-09
visibility,T_Drnovo,40,76,-0.5029343943642882,3.655227828311783e-06
visibility,T_Drnovo,45,65,-0.5297613752290329,5.68070993024611e-06
visibility,T_Drnovo,50,55,-0.6964419734345102,3.540230530892762e-09
visibility,T_Drnovo,55,44,-0.6921912572164924,1.9439285216068591e-07
visibility,T_Drnovo,60,34,-0.3553212967077248,0.039188420942002006
visibility,T_delta,-15,129,-0.531997993729266,8.704563313008395e-11
visibility,T_delta,-10,139,-0.5190992092758481,5.87341150590701e-11
visibility,T_delta,-5,150,-0.4388054987649593,1.945134432190248e-08
visibility,T_delta,0,150,-0.4521199508032156,6.325672213062913e-09
visibility,T_delta,5,150,-0.3719414422467438,2.779481729870195e-06
visibility,T_delta,10,139,-0.0956718039596669,0.26256878351042917
visibility,T_delta,15,129,0.15766583267516235,0.07434435315444608
visibility,T_delta,20,118,0.4376212601605108,7.21720459308066e-07
visibility,T_delta,25,108,0.4382439902289131,2.0997103690223128e-06
visibility,T_delta,30,97,0.4919445905136432,3.0973517495985375e-07
visibility,T_delta,35,87,0.5846095007030407,2.76085454234038e-09
visibility,T_delta,40,76,0.5029343943642881,3.655227828311783e-06
visibility,T_delta,45,65,0.529761375229033,5.68070993024611e-06
visibility,T_delta,50,55,0.6964419734345102,3.540230530892762e-09
visibility,T_delta,55,44,0.6921912572164923,1.9439285216068591e-07
visibility,T_delta,60,34,0.3553212967077247,0.03918842094200211
vis_HV,T_Ljubljana,-60,34,-0.32387340715043333,0.061682290392104225
vis_HV,T_Ljubljana,-55,44,-0.37363428684301947,0.012479985170659702
vis_HV,T_Ljubljana,-50,55,-0.4314593236320491,0.001005926195346254
vis_HV,T_Ljubljana,-45,65,-0.3857481383664543,0.001506390330297192
vis_HV,T_Ljubljana,-40,76,-0.38963471306029507,0.0005032239285477345
vis_HV,T_Ljubljana,-35,86,-0.3903622349290783,0.00020267626876422956
vis_HV,T_Ljubljana,-30,97,-0.29390520118812563,0.003478708445337046
vis_HV,T_Ljubljana,-25,107,-0.19817890328010265,0.04073246782653768
vis_HV,T_Ljubljana,-20,118,-0.05045607090082913,0.5874021696917447
vis_HV,T_Ljubljana,-15,129,0.2086596246060093,0.017642681567733777
vis_HV,T_Ljubljana,-10,139,0.40742229323735996,6.432360787709926e-07
vis_HV,T_Ljubljana,-5,150,0.4667121432791664,1.7452936587484028e-09
vis_HV,T_Ljubljana,0,150,0.34412629578248133,1.618912915276246e-05
vis_HV,T_Ljubljana,5,150,0.2807724924524298,0.0005009335789126911
vis_HV,T_Drnovo,-60,34,-0.32387340715043333,0.061682290392104225
vis_HV,T_Drnovo,-55,44,-0.3736342868430195,0.012479985170659702
vis_HV,T_Drnovo,-50,55,-0.43145932363204914,0.0010059261953462482
vis_HV,T_Drnovo,-45,65,-0.38574813836645433,0.001506390330297192
vis_HV,T_Drnovo,-40,76,-0.38963471306029507,0.0005032239285477345
vis_HV,T_Drnovo,-35,86,-0.39036223492907823,0.00020267626876422956
vis_HV,T_Drnovo,-30,97,-0.2939052011881256,0.003478708445337046
vis_HV,T_Drnovo,-25,107,-0.19817890328010268,0.04073246782653768
vis_HV,T_Drnovo,-20,118,-0.05045607090082914,0.5874021696917447
vis_HV,T_Drnovo,-15,129,0.4106181376458162,1.3432899847794234e-06
vis_HV,T_Drnovo,-10,139,0.6025730764306421,4.232565679027164e-15
vis_HV,T_Drnovo,-5,150,0.6081512438815769,1.5353901666615433e-16
vis_HV,T_Drnovo,0,150,0.47148748745435054,1.1299992522131209e-09
vis_HV,T_Drnovo,5,150,0.3023145969837223,0.00016992855922946118
vis_HV,T_Drnovo,10,139,0.05778991537234664,0.4992022359535679
vis_HV,T_Drnovo,15,129,-0.17194491943283957,0.0513614466752374
vis_HV,T_Drnovo,20,118,-0.41606772825523014,2.788722540379216e-06
vis_HV,T_Drnovo,25,108,-0.4751509431863228,2.035799432478016e-07
vis_HV,T_Drnovo,30,97,-0.6403334535539884,1.636191597518186e-12
vis_HV,T_Drnovo,35,87,-0.8127146935774214,1.2130944507528753e-21
vis_HV,T_Drnovo,40,76,-0.7713840692395973,3.5423351867155e-16
vis_HV,T_Drnovo,45,65,-0.7030395973191773,6.615399085355703e-11
vis_HV,T_Drnovo,50,55,-0.8248754387004071,9.752303646934885e-15
vis_HV,T_Drnovo,55,44,-0.6922700488102959,1.9351956222304625e-07
vis_HV,T_Drnovo,60,34,-0.2813772809972649,0.10694236611790042
vis_HV,T_delta,-15,129,-0.38810524208567077,5.504896116301264e-06
