timestamp,record_id,epc,dac,swept_voltage,voltages,visibility,vis_HV,vis_DA,QBER_total,QBER_HV,QBER_DA,total_coincidences,sync_markers,singles_overlap_duration_s,alice_ch1_singles_per_measurement,alice_ch2_singles_per_measurement,alice_ch3_singles_per_measurement,alice_ch4_singles_per_measurement,bob_ch1_singles_per_measurement,bob_ch2_singles_per_measurement,bob_ch3_singles_per_measurement,bob_ch4_singles_per_measurement,C_HH,C_HV,C_VH,C_VV,C_DD,C_DA,C_AD,C_AA,delay_HH_ps,delay_HV_ps,delay_VH_ps,delay_VV_ps,delay_DD_ps,delay_DA_ps,delay_AD_ps,delay_AA_ps
1782309644.6960473,20260624T140030.658726Z,Alice,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.277800744109136,0.06779661016949153,0.4878048780487805,0.361099627945432,0.4661016949152542,0.25609756097560976,400,4902,5.018622858078,106125.72712905022,137368.3616991339,67567.34060105572,146738.4620891858,228237.91155302574,303116.0226657456,278655.1290159259,260413.0728604926,50,71,39,76,89,17,25,33,35700.00076293945,35500.0,35700.00076293945,35099.998474121094,39400.001525878906,20700.000762939453,38700.00076293945,38700.00076293945
1782309661.3905385,20260624T140046.503774Z,Alice,0,10.0,"[10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3998778138070398,0.44715447154471544,0.35260115606936415,0.3000610930964801,0.2764227642276423,0.3236994219653179,419,4902,5.018622859652,108048.56534639084,131277.04918749054,74628.0424877295,151519.6541492518,231599.3914076653,303003.4418855385,282034.5420612355,259317.15460488744,89,46,22,89,83,23,33,34,36000.0,35400.001525878906,34799.99923706055,35099.998474121094,39200.00076293945,39200.00076293945,39000.0,38900.001525878906
1782309678.1550093,20260624T140103.181450Z,Alice,0,20.0,"[20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.34121739130434786,0.552,0.13043478260869565,0.3293913043478261,0.224,0.43478260869565216,388,4903,5.019646828938,101645.59726763639,126362.47561149576,78286.38416044504,162956.6835826695,231973.491299657,302761.3399489965,281673.2029530326,259066.034786182,98,39,17,96,47,34,26,31,35900.001525878906,35400.001525878906,-73000.0,35099.998474121094,39200.00076293945,38700.00076293945,39000.0,38799.99923706055
1782309694.941791,20260624T140119.992525Z,Alice,0,30.0,"[30.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.05784568301956783,0.2623574144486692,-0.3780487804878049,0.5289228415097839,0.3688212927756654,0.6890243902439024,427,4903,5.019646831913,87052.9371153922,121104.13747341819,79258.56406283834,182026.75020700268,227879.57764830766,303779.33967495285,278322.36943800474,260804.20472551088,93,80,17,73,30,48,65,21,35900.001525878906,35500.0,-7800.000190734863,35099.998474121094,39000.0,38900.001525878906,39099.998474121094,38500.0
1782309711.8136659,20260624T140136.767483Z,Alice,0,40.0,"[40.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.3184955430743007,-0.02109704641350211,-0.6158940397350994,0.6592477715371503,0.510548523206751,0.8079470198675497,388,4920,5.037054807699,75815.1369360324,116558.19172398491,81494.05072435927,200435.57962816814,228382.46632569563,303762.8253838593,277560.0134155907,261671.76064580222,65,83,38,51,12,66,56,17,35700.00076293945,35299.99923706055,35700.00076293945,35099.998474121094,8300.000190734863,39099.998474121094,38799.99923706055,38900.001525878906
1782309728.7445366,20260624T140153.626225Z,Alice,0,50.0,"[50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.2969981552909609,-0.19101123595505617,-0.40298507462686567,0.6484990776454804,0.5955056179775281,0.7014925373134329,401,4921,5.038078786291,67157.54444346183,119011.63626728716,78566.65542370443,209477.66892247286,224123.13262597323,304357.09028061084,275188.2332155177,263488.3367866659,44,115,44,64,16,44,50,24,36000.0,35500.0,35599.998474121094,35099.998474121094,39400.001525878906,39200.00076293945,38799.99923706055,38599.998474121094
1782309745.7984686,20260624T140210.572797Z,Alice,0,60.0,"[60.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.23360323886639675,-0.42105263157894735,-0.046153846153846156,0.6168016194331984,0.7105263157894737,0.5230769230769231,396,4901,5.01759878196,77272.02130907463,126479.82183862448,73697.60239290251,190770.53419286938,224938.27207904434,303919.27817798103,275749.4291840391,263016.2468838308,22,120,69,55,36,35,33,26,-77699.99694824219,35400.001525878906,35500.0,35200.00076293945,39099.998474121094,39200.00076293945,38799.99923706055,38700.00076293945
1782309762.7928398,20260624T140227.646343Z,Alice,0,70.0,"[70.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.13018410161267305,-0.20816326530612245,0.46853146853146854,0.4349079491936635,0.6040816326530613,0.26573426573426573,388,4921,5.038078796656,90637.72490082777,137816.42328834912,64257.6293596038,165725.87164658622,223528.65952542855,304277.69431028044,274586.81291730056,262762.86128725874,23,98,50,74,68,17,21,37,-45799.99923706055,35500.0,35500.0,35200.00076293945,39299.99923706055,35200.00076293945,39000.0,38500.0
1782309779.7093341,20260624T140244.624317Z,Alice,0,80.0,"[80.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.37710917420940887,0.14912280701754385,0.6050955414012739,0.3114454128952956,0.42543859649122806,0.19745222929936307,385,4903,5.019646810091,103541.14934046082,144583.87760290306,60575.97506436664,146402.7306707416,223251.76300196387,304393.9260683363,274892.84648992756,263578.3054178695,41,63,34,90,95,18,13,31,36200.00076293945,35400.001525878906,35700.00076293945,35000.0,39299.99923706055,44000.0,39099.998474121094,38700.00076293945
1782309796.5378468,20260624T140301.551553Z,Alice,0,90.0,"[90.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.43637814120462703,0.3944954128440367,0.4782608695652174,0.2818109293976865,0.30275229357798167,0.2608695652173913,356,4902,5.018622820572,105745.14542607403,142802.124332252,60519.59090350264,143029.27828279935,223645.0197849447,304405.2232293241,274749.67721181386,263365.07987451326,55,41,25,97,69,18,18,33,36099.998474121094,35599.998474121094,35500.0,35200.00076293945,39400.001525878906,-26799.999237060547,39000.0,38599.998474121094
1782309813.3729413,20260624T140318.314984Z,Alice,0,100.0,"[100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.256453266238002,0.3972602739726027,0.11564625850340136,0.37177336688099893,0.3013698630136986,0.4421768707482993,366,4904,5.020670812524,98307.58048681381,133124.64110029818,67139.43466660783,158448.9463072515,223873.47069164715,304590.77225005574,275038.94430907763,262259.77546973573,78,45,21,75,52,30,35,30,36000.0,35400.001525878906,-46200.00076293945,35299.99923706055,39000.0,38900.001525878906,39200.00076293945,38599.998474121094
1782309830.3184683,20260624T140335.265322Z,Alice,0,110.0,"[110.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.01666284491324621,0.3408239700374532,-0.3741496598639456,0.5083314224566231,0.3295880149812734,0.6870748299319728,414,4902,5.018622827011,86561.59567558748,123099.50783210072,75231.79426194653,180589.38303195455,224987.02112517314,303806.45299620525,276642.6264447701,261852.71244674863,96,70,18,83,28,40,61,18,35799.99923706055,35299.99923706055,35099.998474121094,35099.998474121094,39200.00076293945,39099.998474121094,39000.0,38500.0
1782309847.1665897,20260624T140352.149270Z,Alice,0,120.0,"[120.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.21340368208352045,0.19083969465648856,-0.6176470588235294,0.6067018410417602,0.40458015267175573,0.8088235294117647,398,4904,5.020670836596,70524.440164268,118794.88208081327,77703.75965625016,203913.98546536127,222107.76931874204,305166.3910790826,274398.59031548316,263006.68635255017,87,79,27,69,14,52,58,12,35700.00076293945,35700.00076293945,35599.998474121094,35099.998474121094,39900.001525878906,39200.00076293945,38900.001525878906,1000.0
1782309863.9414167,20260624T140408.972581Z,Alice,0,130.0,"[130.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.33600171758066494,-0.1417004048582996,-0.5303030303030303,0.6680008587903324,0.5708502024291497,0.7651515151515151,379,4903,5.019646819356,65866.1877813981,118659.74269409194,78184.7835362949,210876.38993211166,222704.9113673344,304674.82176290057,274296.1904592018,263006.55155841744,58,115,26,48,12,51,50,19,35500.0,35500.0,35500.0,35000.0,-41900.001525878906,39000.0,38900.001525878906,38700.00076293945
1782309880.7695248,20260624T140425.733026Z,Alice,1,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.33194879832810864,0.17424242424242425,0.4896551724137931,0.3340256008359457,0.4128787878787879,0.25517241379310346,409,4905,5.02169484014,102963.24576855113,144351.66275053678,58941.255775659236,145630.1155845646,223138.80784694603,304548.5734767115,275023.6810410201,262848.50872443715,56,70,39,99,73,21,16,35,35900.001525878906,35500.0,35599.998474121094,35200.00076293945,39299.99923706055,42799.99923706055,38500.0,38900.001525878906
1782309897.574717,20260624T140442.535520Z,Alice,1,10.0,"[0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.2575936631639465,-0.08786610878661087,0.6030534351145038,0.37120316841802675,0.5439330543933054,0.1984732824427481,370,4903,5.019646780951,83118.39820748392,140590.5695751561,59968.36294185826,178613.16525346012,222453.8993933845,304556.28985718533,274446.6015473307,262759.52423690574,30,99,31,79,62,16,10,43,35599.998474121094,35500.0,35500.0,35099.998474121094,39299.99923706055,-24899.999618530273,-70699.99694824219,38900.001525878906
1782309914.1691744,20260624T140459.371333Z,Alice,1,20.0,"[0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.09449572649572649,-0.452991452991453,0.264,0.5472478632478632,0.7264957264957265,0.368,359,4903,5.019646813598,70110.51037428316,117581.97776009265,77603.06939220373,203249.3595438259,222682.00164441252,304500.50705946126,274593.0244068336,262805.3424847288,24,119,51,40,30,32,14,49,11300.000190734863,35500.0,35700.00076293945,35000.0,39299.99923706055,39200.00076293945,78900.0015258789,38500.0
1782309931.2561226,20260624T140516.038942Z,Alice,1,30.0,"[0.0, 30.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.3176706827309237,-0.4666666666666667,-0.1686746987951807,0.6588353413654618,0.7333333333333333,0.5843373493975904,391,4903,5.019646788959,75783.2206116021,89954.5364413265,100421.40835661042,201961.42131551087,221855.2513394974,304454.68859711086,274249.37607721466,263085.24394679005,41,108,57,19,25,50,47,44,36000.0,35599.998474121094,35599.998474121094,-24500.0,39099.998474121094,39099.998474121094,38799.99923706055,38799.99923706055
1782309948.160189,20260624T140533.077830Z,Alice,1,40.0,"[0.0, 40.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.3208628841607565,-0.33617021276595743,-0.3055555555555556,0.6604314420803783,0.6680851063829787,0.6527777777777778,451,4903,5.019646781941,96019.70436127495,72931.42643364244,115299.94542289345,171153.47699181957,222152.08528453528,304756.5030877467,274792.2433431916,262723.6650882542,61,83,74,17,36,71,70,39,35700.00076293945,35500.0,35599.998474121094,35099.998474121094,39400.001525878906,39000.0,38799.99923706055,38400.001525878906
1782309964.850548,20260624T140549.993103Z,Alice,1,50.0,"[0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.09330278938148498,-0.09392265193370165,-0.09268292682926829,0.5466513946907425,0.5469613259668509,0.5463414634146342,386,4903,5.019646808823,119027.298683609,76024.27312798936,114347.6865725115,134254.4656360031,222412.06254544808,304778.41534805595,274506.36518450466,262581.2233807458,67,45,54,15,77,41,71,16,36000.0,35500.0,35500.0,-14600.000381469727,39200.00076293945,39099.998474121094,38900.001525878906,-68400.0015258789
1782309980.7210994,20260624T140606.722686Z,Alice,1,60.0,"[0.0, 60.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.11140350877192982,0.17894736842105263,0.043859649122807015,0.4442982456140351,0.4105263157894737,0.4780701754385965,418,4904,5.020670791095,130989.46881091292,97500.91578763652,97878.35539259152,109413.66659099192,222603.7209972592,304609.69532448717,275292.89561296935,262083.50532240706,74,31,47,38,105,36,73,14,35799.99923706055,35099.998474121094,35799.99923706055,35200.00076293945,39200.00076293945,39099.998474121094,38799.99923706055,-11800.000190734863
