timestamp,record_id,epc,dac,swept_voltage,voltages,visibility,vis_HV,vis_DA,QBER_total,QBER_HV,QBER_DA,total_coincidences,sync_markers,C_HH,C_HV,C_VH,C_VV,C_DD,C_DA,C_AD,C_AA,delay_HH_ps,delay_HV_ps,delay_VH_ps,delay_VV_ps,delay_DD_ps,delay_DA_ps,delay_AD_ps,delay_AA_ps
1781955144.9331207,20260620T113113.916184Z,Bob,3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.0699283632657163,-0.22741433021806853,0.08755760368663594,0.5349641816328581,0.6137071651090342,0.45622119815668205,538,29335,58,126,71,66,43,23,76,75,39500.0,35599.998474121094,39599.998474121094,35400.001525878906,35700.00076293945,39000.0,35299.99923706055,38700.00076293945
1781955217.7088535,20260620T113227.355156Z,Bob,3,130.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 130.0]",-0.016095859787176967,-0.20754716981132076,0.17535545023696683,0.5080479298935885,0.6037735849056604,0.41232227488151657,529,29335,56,110,82,70,51,27,60,73,39900.001525878906,35700.00076293945,39599.998474121094,35299.99923706055,35299.99923706055,39200.00076293945,35299.99923706055,39099.998474121094
1781955290.251686,20260620T113340.185337Z,Bob,3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.029476584022038566,-0.1393939393939394,0.19834710743801653,0.4852617079889807,0.5696969696969697,0.40082644628099173,572,29336,72,103,85,70,63,31,66,82,39500.0,35500.0,39500.0,35500.0,35599.998474121094,39000.0,35400.001525878906,38700.00076293945
1781955362.9655042,20260620T113452.715561Z,Bob,3,130.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 130.0]",0.004043450411017391,-0.20743034055727555,0.21551724137931033,0.4979782747944913,0.6037151702786377,0.3922413793103448,555,29335,48,106,89,80,63,23,68,78,39599.998474121094,35700.00076293945,39400.001525878906,35299.99923706055,35799.99923706055,73900.0015258789,35299.99923706055,38799.99923706055
1781955442.1312954,20260620T113605.476006Z,Bob,3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.015170865745578396,-0.16614420062695925,0.13580246913580246,0.5075854328727892,0.5830721003134797,0.43209876543209874,562,29335,65,97,89,68,72,23,82,66,39900.001525878906,35799.99923706055,39400.001525878906,35299.99923706055,35700.00076293945,39700.00076293945,35299.99923706055,39000.0
1781955517.0707319,20260620T113724.573186Z,Bob,3,130.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 130.0]",0.0011814850818814143,-0.15112540192926044,0.15348837209302327,0.4994092574590593,0.5755627009646302,0.4232558139534884,526,29334,57,111,68,75,61,21,70,63,39599.998474121094,35599.998474121094,39599.998474121094,35400.001525878906,35700.00076293945,39200.00076293945,35599.998474121094,38900.001525878906
1781955589.3941393,20260620T113839.501098Z,Bob,3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.05342142520056631,-0.27607361963190186,0.16923076923076924,0.5267107126002831,0.6380368098159509,0.4153846153846154,521,29335,55,113,95,63,38,23,58,76,39500.0,35500.0,39299.99923706055,35200.00076293945,35900.001525878906,39000.0,35299.99923706055,38900.001525878906
1781955662.253995,20260620T113951.819843Z,Bob,3,130.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 130.0]",-0.01759294524360589,-0.14733542319749215,0.11214953271028037,0.5087964726218029,0.5736677115987461,0.4439252336448598,533,29335,65,110,73,71,40,21,74,79,40099.998474121094,35500.0,39299.99923706055,35400.001525878906,35500.0,48900.001525878906,35400.001525878906,39000.0
1781955735.3193142,20260620T114104.696140Z,Bob,3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.05697059185431279,-0.18272425249169436,0.06878306878306878,0.5284852959271564,0.5913621262458472,0.4656084656084656,490,29334,50,94,84,73,42,19,69,59,39700.00076293945,35700.00076293945,39299.99923706055,35099.998474121094,35400.001525878906,-214199.9969482422,35200.00076293945,38799.99923706055
1781955808.127864,20260620T114217.777617Z,Bob,3,130.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 130.0]",0.03552562837406397,-0.12149532710280374,0.19254658385093168,0.482237185812968,0.5607476635514018,0.40372670807453415,482,29334,63,111,69,78,41,15,50,55,39599.998474121094,35400.001525878906,39200.00076293945,35299.99923706055,35500.0,403700.01220703125,35200.00076293945,38700.00076293945
1781955880.9856977,20260620T114330.575453Z,Bob,3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.012484993997599045,-0.16326530612244897,0.18823529411764706,0.49375750300120047,0.5816326530612245,0.40588235294117647,464,29335,57,100,71,66,43,14,55,58,39599.998474121094,35599.998474121094,39299.99923706055,35200.00076293945,35599.998474121094,-42599.998474121094,35400.001525878906,38599.998474121094
1781955953.5457463,20260620T114443.454869Z,Bob,3,130.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 130.0]",0.029601029601029616,-0.23809523809523808,0.2972972972972973,0.4851994851994852,0.6190476190476191,0.35135135135135137,521,29334,56,119,89,72,56,10,55,64,39799.99923706055,35599.998474121094,39299.99923706055,35500.0,35500.0,38900.001525878906,35200.00076293945,38799.99923706055
1781956029.3072996,20260620T114555.979400Z,Bob,3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.04907297704057126,-0.16766467065868262,0.06951871657754011,0.5245364885202857,0.5838323353293413,0.46524064171123,521,29334,64,114,81,75,46,18,69,54,39599.998474121094,35700.00076293945,39200.00076293945,35200.00076293945,35400.001525878906,39299.99923706055,35299.99923706055,38799.99923706055
1781956103.252035,20260620T114711.790120Z,Bob,3,130.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 130.0]",0.02943362088462409,-0.13450292397660818,0.19337016574585636,0.485283189557688,0.5672514619883041,0.40331491712707185,523,29334,77,128,66,71,46,18,55,62,39700.00076293945,35500.0,39299.99923706055,35299.99923706055,35700.00076293945,39099.998474121094,35500.0,38700.00076293945
1781956182.4584131,20260620T114825.727888Z,Bob,3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.03954367218319453,-0.1928020565552699,0.271889400921659,0.4802281639084027,0.596401028277635,0.3640552995391705,606,29319,84,141,91,73,73,23,56,65,39799.99923706055,35500.0,39299.99923706055,35200.00076293945,35599.998474121094,38799.99923706055,35299.99923706055,38700.00076293945
1781956260.8380175,20260620T114944.953491Z,Bob,3,130.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 130.0]",0.08107601211049487,-0.2519893899204244,0.41414141414141414,0.45946199394475257,0.6259946949602122,0.29292929292929293,575,29336,70,149,87,71,70,17,41,70,39700.00076293945,35700.00076293945,39500.0,35400.001525878906,35700.00076293945,38900.001525878906,35099.998474121094,38700.00076293945
1781956340.2639337,20260620T115103.300805Z,Bob,3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.012322288184357155,-0.23646723646723647,0.21182266009852216,0.5061611440921786,0.6182336182336182,0.39408866995073893,554,29335,69,144,73,65,55,31,49,68,39799.99923706055,35700.00076293945,39599.998474121094,35299.99923706055,35500.0,38900.001525878906,35099.998474121094,38599.998474121094
1781956413.15781,20260620T115222.752791Z,Bob,3,130.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 130.0]",0.03334989442305304,-0.18072289156626506,0.24742268041237114,0.4833250527884735,0.5903614457831325,0.37628865979381443,526,29333,62,120,76,74,48,12,61,73,39700.00076293945,35900.001525878906,39299.99923706055,35200.00076293945,35400.001525878906,39299.99923706055,35099.998474121094,39099.998474121094
1781956491.5822861,20260620T115335.577858Z,Bob,3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.02314196706720071,-0.09657320872274143,0.14285714285714285,0.4884290164663996,0.5482866043613707,0.42857142857142855,510,29334,62,113,63,83,55,27,54,53,40000.0,35500.0,39400.001525878906,35500.0,35599.998474121094,38900.001525878906,35099.998474121094,38799.99923706055
1781956565.1694338,20260620T115454.041884Z,Bob,3,130.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 130.0]",-0.029706804351834773,-0.2476489028213166,0.18823529411764706,0.5148534021759175,0.6238244514106583,0.40588235294117647,489,29334,48,128,71,72,41,17,52,60,39500.0,35599.998474121094,39299.99923706055,35200.00076293945,35500.0,385100.0061035156,35299.99923706055,38599.998474121094
