timestamp,record_id,epc,dac,swept_voltage,voltages,visibility,vis_HV,vis_DA,QBER_total,QBER_HV,QBER_DA,total_coincidences,sync_markers,C_HH,C_HV,C_VH,C_VV,C_DD,C_DA,C_AD,C_AA,delay_HH_ps,delay_HV_ps,delay_VH_ps,delay_VV_ps,delay_DD_ps,delay_DA_ps,delay_AD_ps,delay_AA_ps
1782147292.7158182,20260622T165428.093753Z,Alice,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.22186732186732186,-0.2545454545454545,-0.1891891891891892,0.610933660933661,0.6272727272727273,0.5945945945945946,589,9784,105,111,96,18,55,71,83,50,35400.001525878906,36099.998474121094,35200.00076293945,-76199.99694824219,39400.001525878906,39000.0,39200.00076293945,38799.99923706055
1782147320.995024,20260622T165454.564181Z,Alice,0,15.0,"[15.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.26332564956316346,-0.006289308176100629,-0.5203619909502263,0.6316628247815816,0.5031446540880503,0.7601809954751131,539,9783,111,59,101,47,26,105,63,27,35599.998474121094,36000.0,35299.99923706055,35700.00076293945,39599.998474121094,39200.00076293945,38900.001525878906,38700.00076293945
1782147349.6821382,20260622T165522.915962Z,Alice,0,30.0,"[30.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.08077135382916938,0.19504643962848298,-0.35658914728682173,0.5403856769145847,0.4024767801857585,0.6782945736434108,581,9783,150,31,99,43,46,115,60,37,35500.0,35700.00076293945,35200.00076293945,35599.998474121094,39400.001525878906,39099.998474121094,39000.0,38799.99923706055
1782147378.069521,20260622T165551.529012Z,Alice,0,45.0,"[45.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.1796839036366426,0.09620991253644315,0.2631578947368421,0.41015804818167867,0.4518950437317784,0.3684210526315789,590,9784,155,57,98,33,76,56,35,80,35599.998474121094,36000.0,35299.99923706055,35599.998474121094,39400.001525878906,39200.00076293945,39000.0,38900.001525878906
1782147404.7303643,20260622T165619.997995Z,Alice,0,60.0,"[60.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.206524064171123,-0.10695187165775401,0.52,0.3967379679144385,0.553475935828877,0.24,624,9783,146,96,111,21,105,21,39,85,35700.00076293945,36000.0,35299.99923706055,35200.00076293945,39299.99923706055,-19500.0,39000.0,38900.001525878906
1782147431.2994685,20260622T165646.654257Z,Alice,0,75.0,"[75.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.017379738912732465,-0.19270833333333334,0.22746781115879827,0.4913101305436337,0.5963541666666666,0.38626609442060084,617,9783,135,107,122,20,69,41,49,74,35500.0,35900.001525878906,35200.00076293945,-64099.998474121094,39299.99923706055,39200.00076293945,38900.001525878906,38799.99923706055
1782147457.7121022,20260622T165713.194433Z,Alice,0,90.0,"[90.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.18503670177937578,-0.03927492447129909,-0.33079847908745247,0.5925183508896879,0.5196374622356495,0.6653992395437263,594,9783,129,76,96,30,56,90,85,32,35700.00076293945,35900.001525878906,35200.00076293945,36000.0,39400.001525878906,39099.998474121094,39000.0,38700.00076293945
1782147484.2540483,20260622T165739.543241Z,Alice,0,105.0,"[105.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.1942476383265857,0.09868421052631579,-0.48717948717948717,0.5971238191632928,0.4506578947368421,0.7435897435897436,577,9783,116,31,106,51,28,115,88,42,35500.0,36299.99923706055,35200.00076293945,35500.0,39099.998474121094,39099.998474121094,39200.00076293945,39000.0
1782147510.6949108,20260622T165806.149860Z,Alice,0,120.0,"[120.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.1166559829059829,0.15692307692307692,0.0763888888888889,0.44167200854700855,0.42153846153846153,0.4618055555555556,613,9785,150,44,93,38,85,72,61,70,35599.998474121094,35799.99923706055,35299.99923706055,35700.00076293945,39400.001525878906,39099.998474121094,39099.998474121094,38700.00076293945
1782147537.1924634,20260622T165832.501930Z,Alice,1,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.17847366156974698,-0.22527472527472528,-0.13167259786476868,0.5892368307848734,0.6126373626373627,0.5658362989323843,645,9783,119,102,121,22,66,70,89,56,35500.0,36000.0,35200.00076293945,29399.999618530273,39500.0,39400.001525878906,39000.0,38900.001525878906
