timestamp,record_id,epc,dac,swept_voltage,voltages,visibility,vis_HV,vis_DA,QBER_total,QBER_HV,QBER_DA,total_coincidences,sync_markers,singles_overlap_duration_s,alice_ch1_singles_per_measurement,alice_ch2_singles_per_measurement,alice_ch3_singles_per_measurement,alice_ch4_singles_per_measurement,bob_ch1_singles_per_measurement,bob_ch2_singles_per_measurement,bob_ch3_singles_per_measurement,bob_ch4_singles_per_measurement,C_HH,C_HV,C_VH,C_VV,C_DD,C_DA,C_AD,C_AA,delay_HH_ps,delay_HV_ps,delay_VH_ps,delay_VV_ps,delay_DD_ps,delay_DA_ps,delay_AD_ps,delay_AA_ps
1782310042.2846892,20260624T140656.970490Z,Alice,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.33313771669047526,0.09339407744874716,0.5728813559322034,0.33343114165476234,0.4533029612756264,0.2135593220338983,734,9780,10.01369364631,202136.2018345631,281271.8362956803,123167.33900227591,296083.55365380575,447828.7591364939,608408.8664171416,553200.4668468473,522127.01772903244,78,145,54,162,165,27,36,67,35799.99923706055,35500.0,35799.99923706055,35099.998474121094,39200.00076293945,-33099.998474121094,38900.001525878906,38799.99923706055
1782310070.9564118,20260624T140724.079914Z,Alice,0,10.0,"[10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.342383309937883,0.3120728929384966,0.3726937269372694,0.3288083450310585,0.3439635535307517,0.31365313653136534,710,9797,10.031101588816,201965.85410507515,272812.5097497901,130714.4572697689,301630.8800394804,450568.6598807014,607888.370585203,555011.8250429496,521376.43644553196,129,116,35,159,133,38,47,53,35900.001525878906,35400.001525878906,73000.0,35099.998474121094,39200.00076293945,38900.001525878906,38700.00076293945,38799.99923706055
1782310099.8214452,20260624T140752.858809Z,Alice,0,20.0,"[20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.19065198706667214,0.3926247288503254,-0.011320754716981131,0.40467400646666396,0.3036876355748373,0.5056603773584906,726,9779,10.012669640016,183093.02772492857,261534.64501958893,135892.8286779894,333273.7541508128,444923.29819771036,609826.3719395263,551713.9982250701,523553.67633917293,160,110,30,161,85,69,65,46,35900.001525878906,35599.998474121094,-45500.0,35200.00076293945,39200.00076293945,39000.0,38900.001525878906,38799.99923706055
1782310128.517389,20260624T140821.724788Z,Alice,0,30.0,"[30.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.10970929713678368,0.2785571142284569,-0.4979757085020243,0.5548546485683918,0.36072144288577157,0.7489878542510121,746,9797,10.031101605685,157259.89647098954,244137.69257526784,149088.3114126202,378927.4747098362,444414.79861728265,610252.0182360348,551369.1534004068,522858.82509928395,168,142,38,151,40,84,101,22,35799.99923706055,35500.0,35599.998474121094,35000.0,39400.001525878906,38700.00076293945,38900.001525878906,-51200.00076293945
1782310155.4277148,20260624T140850.350037Z,Alice,0,40.0,"[40.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.30801036530385123,0.010438413361169102,-0.6264591439688716,0.6540051826519256,0.49478079331941544,0.8132295719844358,736,9778,10.011645563332,150853.32280754021,233280.33191206082,161053.44419158302,394129.0145599963,450881.922601509,607339.7186842024,556515.9058772841,520035.38949367707,107,180,57,135,22,104,105,26,35900.001525878906,35400.001525878906,35500.0,35099.998474121094,-39900.001525878906,39200.00076293945,38900.001525878906,38500.0
1782310182.2016845,20260624T140917.295690Z,Alice,0,50.0,"[50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.2926637831699538,-0.18454935622317598,-0.40077821011673154,0.6463318915849768,0.592274678111588,0.7003891050583657,723,9779,10.01266962761,141882.24048485843,236634.1932891234,155385.13282310008,401236.6481084981,447155.4706702833,608729.7620599576,553511.7212613848,521102.782180324,65,207,69,125,24,97,83,53,36000.0,35400.001525878906,35599.998474121094,35099.998474121094,39500.0,39099.998474121094,38900.001525878906,38500.0
1782310209.0054512,20260624T140944.042407Z,Alice,0,60.0,"[60.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.19481134458026061,-0.3435700575815739,-0.046052631578947366,0.5974056722901303,0.6717850287907869,0.5230263157894737,825,9800,10.034173607109,156489.2198882744,253390.07471413986,142822.92255584174,373819.5238462405,446817.06491739163,608306.1982977403,552898.5462309964,521395.20451324474,38,260,90,133,85,66,93,60,20299.999237060547,35400.001525878906,35500.0,35099.998474121094,39099.998474121094,38900.001525878906,38900.001525878906,38700.00076293945
1782310235.6710532,20260624T141010.858040Z,Alice,0,70.0,"[70.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.10448202459791864,-0.26785714285714285,0.4768211920529801,0.44775898770104067,0.6339285714285714,0.26158940397350994,750,9779,10.012669639075,179350.76904883276,268794.4471369411,132087.64971518435,333069.0135810861,447210.40056342754,607993.6939337982,553507.7256890296,520584.4383058603,32,202,82,132,143,32,47,80,-4500.0,35400.001525878906,35299.99923706055,35099.998474121094,39200.00076293945,39000.0,38900.001525878906,38700.00076293945
1782310262.4062018,20260624T141037.524628Z,Alice,0,80.0,"[80.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.25484927916120576,-0.0045871559633027525,0.5142857142857142,0.37257536041939715,0.5022935779816514,0.24285714285714285,716,9797,10.031101673019,197849.65447396287,287224.6831820685,115859.65708293133,298985.1062986349,442579.5036991039,609706.7101264158,549773.1136384978,523610.4837943707,61,158,61,156,149,32,36,63,35900.001525878906,35400.001525878906,35599.998474121094,35200.00076293945,39299.99923706055,39000.0,38900.001525878906,38599.998474121094
1782310289.6363358,20260624T141104.198912Z,Alice,0,90.0,"[90.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3847782294985899,0.2818371607515658,0.48771929824561405,0.30761088525070507,0.35908141962421714,0.256140350877193,764,9778,10.01164566887,200558.4362861926,281864.74964594975,120978.11289566994,297705.3022629003,442137.1017717624,609418.2916372272,551397.8603103199,522060.0261804838,121,133,39,186,148,30,43,64,35900.001525878906,35500.0,35099.998474121094,35200.00076293945,39200.00076293945,39000.0,38900.001525878906,38900.001525878906
