timestamp,record_id,epc,dac,swept_voltage,voltages,visibility,vis_HV,vis_DA,QBER_total,QBER_HV,QBER_DA,total_coincidences,sync_markers,C_HH,C_HV,C_VH,C_VV,C_DD,C_DA,C_AD,C_AA,delay_HH_ps,delay_HV_ps,delay_VH_ps,delay_VV_ps,delay_DD_ps,delay_DA_ps,delay_AD_ps,delay_AA_ps
1781978032.9991784,20260620T175327.439171Z,Bob,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0879437160217461,0.39622641509433965,-0.22033898305084745,0.456028141989127,0.3018867924528302,0.6101694915254238,224,9787,32,17,15,42,18,51,21,28,35849.998474121094,35349.998474121094,-25649.999618530273,35250.0,-33700.00076293945,39349.998474121094,38799.99923706055,38450.00076293945
1781978061.0563467,20260620T175355.364844Z,Bob,0,10.0,"[0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0]",0.1037557251908397,0.3435114503816794,-0.136,0.4481221374045801,0.3282442748091603,0.568,256,9804,45,26,17,43,19,52,19,35,35950.00076293945,35150.001525878906,-8500.0,35349.998474121094,37599.998474121094,38799.99923706055,38900.001525878906,38750.0
1781978089.0293624,20260620T175423.479501Z,Bob,0,20.0,"[0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 0.0, 0.0]",0.08132573057733428,0.32786885245901637,-0.16521739130434782,0.45933713471133286,0.3360655737704918,0.5826086956521739,237,9785,41,27,14,40,15,49,18,33,35700.00076293945,35549.99923706055,13600.000381469727,35349.998474121094,-42799.99923706055,39099.998474121094,39200.00076293945,38900.001525878906
1781978116.9599018,20260620T175451.436236Z,Bob,0,30.0,"[0.0, 0.0, 0.0, 0.0, 30.0, 0.0, 0.0, 0.0]",0.09362041467304624,0.3508771929824561,-0.16363636363636364,0.45318979266347686,0.32456140350877194,0.5818181818181818,224,9787,40,23,14,37,17,45,19,29,35950.00076293945,35599.998474121094,-5800.000190734863,35150.001525878906,6050.000190734863,38799.99923706055,39049.99923706055,38950.00076293945
1781978144.8978977,20260620T175519.347624Z,Bob,0,40.0,"[0.0, 0.0, 0.0, 0.0, 40.0, 0.0, 0.0, 0.0]",0.046728971962616814,0.2523364485981308,-0.1588785046728972,0.47663551401869153,0.37383177570093457,0.5794392523364486,214,9804,34,25,15,33,17,46,16,28,35750.0,35700.00076293945,-45650.001525878906,35250.0,-33000.0,39299.99923706055,38950.00076293945,38799.99923706055
1781978172.797437,20260620T175547.297655Z,Bob,0,50.0,"[0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 0.0]",0.13636363636363638,0.4,-0.12727272727272726,0.43181818181818177,0.3,0.5636363636363636,210,9786,43,17,13,27,17,44,18,31,36049.99923706055,35650.001525878906,11600.000381469727,35049.99923706055,55250.0,39299.99923706055,38950.00076293945,38599.998474121094
1781978200.5986488,20260620T175615.166582Z,Bob,0,60.0,"[0.0, 0.0, 0.0, 0.0, 60.0, 0.0, 0.0, 0.0]",0.141157234989554,0.3465346534653465,-0.06422018348623854,0.429421382505223,0.32673267326732675,0.5321100917431193,210,9804,31,20,13,37,17,44,14,34,35900.001525878906,35549.99923706055,2450.000047683716,34950.00076293945,-25600.000381469727,38849.998474121094,30799.999237060547,38849.998474121094
1781978228.3705184,20260620T175642.957126Z,Bob,0,70.0,"[0.0, 0.0, 0.0, 0.0, 70.0, 0.0, 0.0, 0.0]",0.08706184098033627,0.41379310344827586,-0.2396694214876033,0.45646907950983184,0.29310344827586204,0.6198347107438017,237,9785,38,21,13,44,16,55,20,30,36000.0,35650.001525878906,9699.999809265137,35500.0,-82250.0,39349.998474121094,39049.99923706055,38549.99923706055
1781978256.2642953,20260620T175710.730657Z,Bob,0,80.0,"[0.0, 0.0, 0.0, 0.0, 80.0, 0.0, 0.0, 0.0]",0.06715092816787732,0.21904761904761905,-0.0847457627118644,0.46642453591606137,0.3904761904761905,0.5423728813559322,223,9804,38,28,13,26,15,51,13,39,35950.00076293945,35299.99923706055,29049.999237060547,35000.0,6300.000190734863,39250.0,38799.99923706055,38900.001525878906
1781978284.0416937,20260620T175738.647200Z,Bob,0,90.0,"[0.0, 0.0, 0.0, 0.0, 90.0, 0.0, 0.0, 0.0]",0.0260942760942761,0.29292929292929293,-0.24074074074074073,0.4869528619528619,0.35353535353535354,0.6203703703703703,207,9804,33,21,14,31,15,50,17,26,35599.998474121094,35549.99923706055,-63650.001525878906,35299.99923706055,34950.00076293945,38799.99923706055,39000.0,38549.99923706055
1781978311.88431,20260620T175806.430481Z,Bob,0,100.0,"[0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0]",0.16726460974248586,0.4336283185840708,-0.0990990990990991,0.4163676951287571,0.2831858407079646,0.5495495495495496,224,9804,42,19,13,39,17,45,16,33,35900.001525878906,35750.0,-21250.0,35099.998474121094,5250.0,39000.0,38650.001525878906,38849.998474121094
1781978339.8968198,20260620T175834.358389Z,Bob,0,110.0,"[0.0, 0.0, 0.0, 0.0, 110.0, 0.0, 0.0, 0.0]",0.07013201320132013,0.3069306930693069,-0.16666666666666666,0.46493399339933994,0.3465346534653465,0.5833333333333334,209,9787,31,21,14,35,14,45,18,31,36000.0,35299.99923706055,54849.998474121094,35099.998474121094,-1399.999976158142,38700.00076293945,38750.0,38599.998474121094
