timestamp,record_id,epc,dac,swept_voltage,voltages,visibility,vis_HV,vis_DA,QBER_total,QBER_HV,QBER_DA,total_coincidences,sync_markers,C_HH,C_HV,C_VH,C_VV,C_DD,C_DA,C_AD,C_AA,delay_HH_ps,delay_HV_ps,delay_VH_ps,delay_VV_ps,delay_DD_ps,delay_DA_ps,delay_AD_ps,delay_AA_ps
1781978427.8689337,20260620T180002.319231Z,Bob,0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.07751050019091257,0.3402061855670103,-0.18518518518518517,0.46124474990454367,0.32989690721649484,0.5925925925925926,205,9804,30,20,12,35,16,47,17,28,35799.99923706055,35900.001525878906,-949.999988079071,35349.998474121094,-17850.000381469727,38950.00076293945,39299.99923706055,38799.99923706055
1781978455.7208455,20260620T180030.224247Z,Bob,0,10.0,"[0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0]",0.06902086677367578,0.2808988764044944,-0.14285714285714285,0.4654895666131621,0.3595505617977528,0.5714285714285714,194,9802,25,20,12,32,16,46,14,29,35950.00076293945,35700.00076293945,-10949.999809265137,35250.0,-81849.9984741211,38750.0,6300.000190734863,38849.998474121094
1781978483.6182551,20260620T180058.113943Z,Bob,0,20.0,"[0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 0.0, 0.0]",0.09523809523809523,0.4095238095238095,-0.21904761904761905,0.45238095238095244,0.29523809523809524,0.6095238095238096,210,9785,34,16,15,40,16,46,18,25,35849.998474121094,35200.00076293945,22600.000381469727,35000.0,-28399.999618530273,38750.0,38450.00076293945,38599.998474121094
1781978511.4529278,20260620T180125.968536Z,Bob,0,30.0,"[0.0, 0.0, 0.0, 0.0, 30.0, 0.0, 0.0, 0.0]",0.06108639228772711,0.3118279569892473,-0.1896551724137931,0.4694568038561365,0.34408602150537637,0.5948275862068966,209,9787,26,19,13,35,15,50,19,32,35900.001525878906,35500.0,-17649.999618530273,34950.00076293945,-54150.001525878906,39049.99923706055,38900.001525878906,38849.998474121094
1781978539.2836235,20260620T180153.843310Z,Bob,0,40.0,"[0.0, 0.0, 0.0, 0.0, 40.0, 0.0, 0.0, 0.0]",0.12518549925800299,0.3258426966292135,-0.07547169811320754,0.4374072503709985,0.33707865168539325,0.5377358490566038,195,9802,27,18,12,32,15,41,16,34,35750.0,35799.99923706055,54500.0,35049.99923706055,-7900.000095367432,38849.998474121094,42400.001525878906,38599.998474121094
1781978567.0987003,20260620T180221.677253Z,Bob,0,50.0,"[0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 0.0]",0.04300356506238859,0.3409090909090909,-0.2549019607843137,0.4784982174688057,0.32954545454545453,0.6274509803921569,190,9804,23,16,13,36,16,48,16,22,36250.0,36000.0,11699.999809265137,35099.998474121094,-31299.999237060547,38950.00076293945,39349.998474121094,38400.001525878906
1781978594.9093654,20260620T180249.466956Z,Bob,0,60.0,"[0.0, 0.0, 0.0, 0.0, 60.0, 0.0, 0.0, 0.0]",0.09919050188882891,0.3176470588235294,-0.11926605504587157,0.45040474905558553,0.3411764705882353,0.5596330275229358,194,9804,22,14,15,34,17,45,16,31,35700.00076293945,35549.99923706055,32200.000762939453,35400.001525878906,5449.999809265137,38950.00076293945,39349.998474121094,38849.998474121094
1781978623.0676975,20260620T180317.263205Z,Bob,0,70.0,"[0.0, 0.0, 0.0, 0.0, 70.0, 0.0, 0.0, 0.0]",0.0217233009708738,0.325,-0.2815533980582524,0.48913834951456314,0.3375,0.6407766990291263,183,9804,22,14,13,31,15,48,18,22,35799.99923706055,35799.99923706055,-45200.00076293945,35250.0,10600.000381469727,39000.0,38799.99923706055,38599.998474121094
1781978651.035727,20260620T180345.489924Z,Bob,0,80.0,"[0.0, 0.0, 0.0, 0.0, 80.0, 0.0, 0.0, 0.0]",0.05384252710985385,0.32673267326732675,-0.21904761904761905,0.47307873644507314,0.33663366336633666,0.6095238095238096,206,9786,34,23,11,33,16,40,24,25,35900.001525878906,35549.99923706055,35450.00076293945,35400.001525878906,-67849.9984741211,39200.00076293945,38900.001525878906,38700.00076293945
1781978678.9113607,20260620T180413.418873Z,Bob,0,90.0,"[0.0, 0.0, 0.0, 0.0, 90.0, 0.0, 0.0, 0.0]",0.084593837535014,0.2549019607843137,-0.08571428571428572,0.457703081232493,0.37254901960784315,0.5428571428571428,207,9804,29,24,14,35,15,40,17,33,35700.00076293945,35799.99923706055,14800.000190734863,35299.99923706055,-24100.000381469727,39000.0,39250.0,38650.001525878906
